cfname,updateddate,addeddate,reportdate,beds_ward_o,mechvent_o,isolbed_o,beds_ward_v,hfhudcode,icu_o,isolbed_v,icu_v,mechvent_v,id
MAKATI MEDICAL CENTER,2020-04-18 22:25:38,2020-04-18 22:25:38,2020-04-18,0,13,64,0,DOH000000000000637,11,0,0,18,2438
"MEDICAL CENTER MANILA, INC.",2020-04-18 12:55:14,2020-04-18 12:55:14,2020-04-18,0,0,14,0,DOH000000000000655,2,0,0,18,2263
"MEDICAL CENTER MANILA, INC.",2020-04-19 10:49:07,2020-04-19 10:49:07,2020-04-19,0,0,15,0,DOH000000000000655,2,0,0,18,3024
"MEDICAL CENTER MANILA, INC.",2020-04-17 8:12:46,2020-04-17 8:12:46,2020-04-17,0,0,14,0,DOH000000000000655,2,0,0,18,942
PASIG CITY GENERAL HOSPITAL,2020-04-18 19:24:33,2020-04-18 19:24:33,2020-04-18,3,1,6,0,DOH000000000000700,10,1,4,6,2423
PASIG CITY GENERAL HOSPITAL,2020-04-17 12:26:45,2020-04-17 12:26:45,2020-04-17,3,1,6,0,DOH000000000000700,10,1,4,6,1372
RIZAL MEDICAL CENTER,2020-04-18 16:56:39,2020-04-18 16:56:39,2020-04-18,0,2,58,0,DOH000000000000727,11,9,0,8,2389
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,2020-04-18 18:04:54,2020-04-18 18:04:54,2020-04-18,27,6,0,2,DOH000000000000789,0,0,0,14,2410
NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,2020-04-18 12:51:13,2020-04-18 12:51:13,2020-04-18,0,4,81,4,DOH000000000001981,1,84,4,9,2262
CAGAYAN VALLEY MEDICAL CENTER,2020-04-17 11:26:00,2020-04-17 11:26:00,2020-04-17,0,0,14,19,DOH000000000002162,0,74,5,10,1333
CAGAYAN VALLEY MEDICAL CENTER,2020-04-18 8:21:16,2020-04-18 8:21:16,2020-04-18,0,1,23,0,DOH000000000002162,0,65,5,9,1889
CAGAYAN VALLEY MEDICAL CENTER,2020-04-19 8:02:07,2020-04-19 8:02:07,2020-04-19,0,0,19,19,DOH000000000002162,0,69,5,10,2642
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-16 11:57:19,2020-04-16 11:57:19,2020-04-16,5,2,26,17,DOH000000000002777,2,9,17,13,443
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-19 9:18:45,2020-04-19 9:18:45,2020-04-19,9,4,34,13,DOH000000000002777,4,1,15,11,2905
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-18 9:31:57,2020-04-18 9:31:57,2020-04-18,4,3,32,18,DOH000000000002777,3,3,16,12,2073
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-17 8:56:33,2020-04-17 8:56:33,2020-04-17,4,2,28,18,DOH000000000002777,3,7,16,13,1124
BATANGAS MEDICAL CENTER,2020-04-16 15:14:54,2020-04-16 15:14:54,2020-04-16,0,1,20,0,DOH000000000002829,0,0,0,29,601
BATANGAS MEDICAL CENTER,2020-04-17 16:15:29,2020-04-17 16:15:29,2020-04-17,0,0,20,0,DOH000000000002829,0,0,0,30,1512
BATANGAS MEDICAL CENTER,2020-04-18 16:19:22,2020-04-18 16:19:22,2020-04-18,0,1,20,0,DOH000000000002829,0,0,0,29,2370
ZAMBOANGA CITY MEDICAL CENTER,2020-04-17 15:55:09,2020-04-17 15:55:09,2020-04-17,4,2,61,1,DOH000000000003815,2,24,16,10,1499
ZAMBOANGA CITY MEDICAL CENTER,2020-04-16 17:10:01,2020-04-16 17:10:01,2020-04-16,4,2,57,1,DOH000000000003815,6,28,0,10,677
ZAMBOANGA CITY MEDICAL CENTER,2020-04-18 8:24:29,2020-04-18 8:24:29,2020-04-18,4,2,62,2,DOH000000000003815,6,19,0,10,1902
ZAMBOANGA CITY MEDICAL CENTER,2020-04-19 14:12:50,2020-04-19 14:12:50,2020-04-19,2,2,60,3,DOH000000000003815,5,20,13,10,3183
CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,2020-04-17 16:24:52,2020-04-17 16:24:52,2020-04-17,0,0,3,12,DOH000000000004299,0,19,3,13,1521
CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,2020-04-16 10:49:30,2020-04-16 10:49:30,2020-04-16,0,0,3,12,DOH000000000004299,0,19,0,13,387
UP-PHILIPPINE GENERAL HOSPITAL,2020-04-19 10:03:57,2020-04-19 10:03:57,2020-04-19,52,16,77,14,DOH000000000005032,7,28,9,19,2978
UP-PHILIPPINE GENERAL HOSPITAL,2020-04-17 20:23:00,2020-04-17 20:20:28,2020-04-17,48,9,74,18,DOH000000000005032,7,28,9,26,1574
UP-PHILIPPINE GENERAL HOSPITAL,2020-04-18 14:35:36,2020-04-18 14:35:36,2020-04-18,50,13,75,16,DOH000000000005032,7,29,9,22,2307
WESTERN VISAYAS MEDICAL CENTER,2020-04-19 11:24:51,2020-04-19 11:24:51,2020-04-19,0,1,26,0,DOH000000000005034,0,55,10,9,3054
WESTERN VISAYAS MEDICAL CENTER,2020-04-18 9:52:04,2020-04-18 9:52:04,2020-04-18,0,10,23,0,DOH000000000005034,0,10,10,9,2101
"ILOILO MISSION HOSPITAL, INC.",2020-04-18 10:44:40,2020-04-18 10:44:40,2020-04-18,0,0,5,0,DOH000000000005614,0,0,0,11,2156
"ILOILO MISSION HOSPITAL, INC.",2020-04-19 11:31:45,2020-04-19 11:31:45,2020-04-19,0,0,5,0,DOH000000000005614,0,0,0,11,3057
"ILOILO MISSION HOSPITAL, INC.",2020-04-17 8:28:39,2020-04-17 8:28:39,2020-04-17,0,0,4,0,DOH000000000005614,0,0,0,12,1016
SACRED HEART MEDICAL CENTER,2020-04-18 21:12:35,2020-04-18 21:12:35,2020-04-18,0,9,1,0,DOH000000000005661,1,1,1,9,2433
SACRED HEART MEDICAL CENTER,2020-04-16 16:11:02,2020-04-16 16:11:02,2020-04-16,0,9,1,0,DOH000000000005661,1,1,1,9,645
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-18 10:06:34,2020-04-18 10:06:34,2020-04-18,0,0,3,0,DOH000000000005937,0,29,20,24,2112
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-19 11:39:26,2020-04-19 11:39:26,2020-04-19,0,0,4,0,DOH000000000005937,0,28,20,24,3070
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-16 13:01:57,2020-04-16 13:01:57,2020-04-16,0,1,3,0,DOH000000000005937,0,29,20,23,495
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-17 12:03:45,2020-04-17 12:03:45,2020-04-17,0,1,3,0,DOH000000000005937,0,29,20,23,1363
"CAPITOL UNIVERSITY MEDICAL CENTER FOUNDATION OF CAGAYAN, INC",2020-04-19 10:07:54,2020-04-19 10:07:54,2020-04-19,0,0,0,0,DOH000000000006003,0,3,0,7,2983
LUNG CENTER OF THE PHILIPPINES,2020-04-18 10:32:47,2020-04-18 10:32:47,2020-04-18,0,17,36,0,DOH000000000006028,21,1,5,33,2140
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-16 8:53:25,2020-04-16 8:53:25,2020-04-16,4,0,4,14,DOH000000000006592,4,14,2,7,240
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-17 8:02:04,2020-04-17 8:02:04,2020-04-17,3,0,3,15,DOH000000000006592,3,15,3,7,883
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-19 10:04:51,2020-04-19 9:27:34,2020-04-19,4,0,4,14,DOH000000000006592,0,14,0,7,2919
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-16 15:28:57,2020-04-16 15:28:57,2020-04-16,9,3,0,0,DOH000000000007520,0,0,0,7,614
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-17 8:55:12,2020-04-17 8:55:12,2020-04-17,8,3,0,1,DOH000000000007520,0,0,0,7,1119
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-19 9:22:24,2020-04-19 9:22:24,2020-04-19,8,3,0,1,DOH000000000007520,0,0,0,7,2912
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-18 8:20:55,2020-04-18 8:20:55,2020-04-18,7,3,0,2,DOH000000000007520,0,0,0,7,1887
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-18 9:38:21,2020-04-18 9:38:21,2020-04-18,6,0,0,6,DOH000000000023755,3,0,5,7,2082
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-17 10:27:52,2020-04-17 10:27:52,2020-04-17,6,0,0,0,DOH000000000023755,3,0,0,7,1264
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-19 13:49:23,2020-04-19 13:49:23,2020-04-19,9,0,0,3,DOH000000000023755,3,0,9,7,3170
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-16 14:00:29,2020-04-16 14:00:29,2020-04-16,1,0,0,0,DOH000000000023755,12,0,0,7,535
,2020-04-16 8:15:30,2020-04-16 8:15:30,2020-04-16,0,0,0,0,,0,0,0,0,152
,2020-04-17 8:22:05,2020-04-17 8:22:05,2020-04-17,0,0,0,0,,0,0,0,0,991
PIDDIG DISTRICT HOSPITAL,2020-04-19 8:17:02,2020-04-19 8:17:02,2020-04-19,0,0,0,0,DOH000000000000001,0,2,0,0,2725
PIDDIG DISTRICT HOSPITAL,2020-04-17 8:30:52,2020-04-17 8:30:52,2020-04-17,0,0,0,0,DOH000000000000001,0,2,0,0,1027
PIDDIG DISTRICT HOSPITAL,2020-04-18 8:06:09,2020-04-18 8:06:09,2020-04-18,0,0,0,0,DOH000000000000001,0,2,0,0,1807
PIDDIG DISTRICT HOSPITAL,2020-04-16 8:31:02,2020-04-16 8:31:02,2020-04-16,0,0,0,2,DOH000000000000001,0,0,0,0,184
LABASON DISTRICT HOSPITAL,2020-04-18 7:57:58,2020-04-18 7:57:58,2020-04-18,0,0,0,0,DOH000000000000004,0,2,0,0,1742
LABASON DISTRICT HOSPITAL,2020-04-19 7:43:42,2020-04-19 7:43:42,2020-04-19,0,0,0,0,DOH000000000000004,0,2,0,0,2571
LABASON DISTRICT HOSPITAL,2020-04-16 9:07:51,2020-04-16 9:07:51,2020-04-16,0,0,0,0,DOH000000000000004,0,2,0,0,267
LABASON DISTRICT HOSPITAL,2020-04-17 11:37:57,2020-04-17 11:37:57,2020-04-17,0,0,0,0,DOH000000000000004,0,2,0,0,1342
LA PAZ MUNICIPAL HOSPITAL,2020-04-19 8:45:41,2020-04-19 8:45:41,2020-04-19,0,0,0,0,DOH000000000000019,0,0,0,0,2832
LA PAZ MUNICIPAL HOSPITAL,2020-04-16 8:07:14,2020-04-16 8:07:14,2020-04-16,0,0,0,0,DOH000000000000019,0,0,0,0,137
LA PAZ MUNICIPAL HOSPITAL,2020-04-18 12:27:11,2020-04-18 12:27:11,2020-04-18,0,0,0,0,DOH000000000000019,0,0,0,0,2246
LA PAZ MUNICIPAL HOSPITAL,2020-04-17 8:21:33,2020-04-17 8:21:33,2020-04-17,0,0,0,0,DOH000000000000019,0,0,0,0,988
BANGUI DISTRICT HOSPITAL,2020-04-17 8:27:41,2020-04-17 8:27:41,2020-04-17,0,0,0,0,DOH000000000000023,0,1,0,0,1012
BANGUI DISTRICT HOSPITAL,2020-04-18 8:58:34,2020-04-18 8:58:34,2020-04-18,0,0,0,0,DOH000000000000023,0,1,0,0,1998
BANGUI DISTRICT HOSPITAL,2020-04-16 13:50:21,2020-04-16 13:50:21,2020-04-16,0,0,0,0,DOH000000000000023,0,1,0,0,527
BANGUI DISTRICT HOSPITAL,2020-04-19 8:39:40,2020-04-19 8:39:40,2020-04-19,0,0,0,0,DOH000000000000023,0,1,0,0,2813
GERTES CLINIC AND HOSPITAL,2020-04-17 8:49:19,2020-04-17 8:49:19,2020-04-17,0,0,0,0,DOH000000000000024,0,0,0,0,1100
GERTES CLINIC AND HOSPITAL,2020-04-18 10:03:30,2020-04-18 10:03:30,2020-04-18,0,0,0,0,DOH000000000000024,0,0,0,0,2109
GERTES CLINIC AND HOSPITAL,2020-04-19 8:45:25,2020-04-19 8:45:25,2020-04-19,0,0,0,0,DOH000000000000024,0,0,0,0,2830
GERTES CLINIC AND HOSPITAL,2020-04-16 14:09:56,2020-04-16 14:09:56,2020-04-16,0,0,0,0,DOH000000000000024,0,0,0,0,546
SIRUMA MUNICIPAL HOSPITAL,2020-04-18 8:04:23,2020-04-18 8:04:23,2020-04-18,0,0,0,0,DOH000000000000060,0,0,0,0,1793
SIRUMA MUNICIPAL HOSPITAL,2020-04-19 8:06:21,2020-04-19 8:06:21,2020-04-19,0,0,0,0,DOH000000000000060,0,0,0,0,2666
SIRUMA MUNICIPAL HOSPITAL,2020-04-16 8:24:25,2020-04-16 8:24:25,2020-04-16,0,0,0,0,DOH000000000000060,0,0,0,0,171
SIRUMA MUNICIPAL HOSPITAL,2020-04-17 8:11:53,2020-04-17 8:11:53,2020-04-17,0,0,0,0,DOH000000000000060,0,0,0,0,936
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-16 13:31:06,2020-04-16 13:31:06,2020-04-16,0,0,0,0,DOH000000000000143,0,5,0,0,515
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-19 9:44:58,2020-04-19 9:44:58,2020-04-19,0,0,0,0,DOH000000000000143,0,5,0,0,2955
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-18 7:47:22,2020-04-18 7:47:22,2020-04-18,0,0,0,0,DOH000000000000143,0,5,0,0,1708
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-17 11:40:49,2020-04-17 11:40:49,2020-04-17,0,0,0,0,DOH000000000000143,0,5,0,0,1345
BARILI DISTRICT HOSPITAL,2020-04-17 8:32:01,2020-04-17 8:32:01,2020-04-17,0,0,0,2,DOH000000000000221,0,2,0,0,1035
BARILI DISTRICT HOSPITAL,2020-04-18 8:18:45,2020-04-18 8:18:45,2020-04-18,0,0,0,2,DOH000000000000221,0,2,0,0,1877
BARILI DISTRICT HOSPITAL,2020-04-19 8:24:43,2020-04-19 8:24:43,2020-04-19,0,0,0,2,DOH000000000000221,0,2,0,0,2762
BULALACAO COMMUNITY HOSPITAL,2020-04-16 14:38:27,2020-04-16 14:35:39,2020-04-16,0,0,3,0,DOH000000000000222,0,5,0,0,573
BULALACAO COMMUNITY HOSPITAL,2020-04-18 18:01:59,2020-04-18 18:01:59,2020-04-18,0,0,2,0,DOH000000000000222,0,6,0,0,2409
DAANBANTAYAN DISTRICT HOSPITAL,2020-04-18 8:33:18,2020-04-18 8:33:18,2020-04-18,0,0,0,0,DOH000000000000224,0,0,0,0,1927
OSLOB DISTRICT HOSPITAL,2020-04-19 9:59:42,2020-04-19 9:59:42,2020-04-19,0,0,0,0,DOH000000000000225,0,2,0,0,2975
OSLOB DISTRICT HOSPITAL,2020-04-17 8:48:13,2020-04-17 8:48:13,2020-04-17,0,0,0,0,DOH000000000000225,0,2,0,0,1094
OSLOB DISTRICT HOSPITAL,2020-04-16 12:25:10,2020-04-16 12:25:10,2020-04-16,0,0,0,0,DOH000000000000225,0,2,0,0,472
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-17 13:09:15,2020-04-17 13:09:15,2020-04-17,0,0,1,0,DOH000000000000226,0,1,0,0,1398
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-18 13:09:35,2020-04-18 13:09:35,2020-04-18,0,0,2,0,DOH000000000000226,0,2,0,0,2269
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-16 17:24:32,2020-04-16 17:24:32,2020-04-16,0,0,1,0,DOH000000000000226,0,1,0,0,683
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-17 7:59:45,2020-04-17 7:59:45,2020-04-17,0,0,1,0,DOH000000000000227,0,3,0,0,873
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-19 8:03:38,2020-04-19 8:03:38,2020-04-19,0,0,1,0,DOH000000000000227,0,3,0,0,2647
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-16 11:19:39,2020-04-16 11:19:39,2020-04-16,0,0,1,3,DOH000000000000227,0,3,0,0,408
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-18 7:22:51,2020-04-18 7:22:51,2020-04-18,0,0,1,3,DOH000000000000227,0,3,0,0,1660
QUEZON MEDICARE HOSPITAL,2020-04-17 9:57:32,2020-04-17 9:57:32,2020-04-17,0,0,0,0,DOH000000000000228,0,0,0,0,1229
QUEZON MEDICARE HOSPITAL,2020-04-18 8:04:56,2020-04-18 8:04:56,2020-04-18,0,0,1,0,DOH000000000000228,0,0,0,0,1796
QUEZON MEDICARE HOSPITAL,2020-04-19 9:23:44,2020-04-19 9:23:44,2020-04-19,0,0,1,0,DOH000000000000228,0,0,0,0,2914
QUEZON MEDICARE HOSPITAL,2020-04-16 8:52:32,2020-04-16 8:52:32,2020-04-16,0,0,0,0,DOH000000000000228,0,0,0,0,237
LASAM DISTRICT HOSPITAL,2020-04-18 8:53:52,2020-04-18 8:53:52,2020-04-18,0,0,0,0,DOH000000000000230,0,0,0,0,1988
LASAM DISTRICT HOSPITAL,2020-04-17 12:46:15,2020-04-17 12:46:15,2020-04-17,0,0,0,0,DOH000000000000230,0,0,0,0,1389
LASAM DISTRICT HOSPITAL,2020-04-19 8:42:46,2020-04-19 8:42:46,2020-04-19,0,0,0,0,DOH000000000000230,0,0,0,0,2825
LUBANG DISTRICT HOSPITAL,2020-04-16 8:29:02,2020-04-16 8:29:02,2020-04-16,0,0,0,0,DOH000000000000231,0,3,0,0,181
TOLEDO CITY GENERAL HOSPITAL,2020-04-16 14:53:42,2020-04-16 14:53:42,2020-04-16,0,0,1,0,DOH000000000000233,0,1,0,0,587
TOLEDO CITY GENERAL HOSPITAL,2020-04-18 10:55:07,2020-04-18 10:55:07,2020-04-18,0,0,0,0,DOH000000000000233,0,2,0,0,2167
TOLEDO CITY GENERAL HOSPITAL,2020-04-19 13:42:51,2020-04-19 13:42:51,2020-04-19,0,0,0,0,DOH000000000000233,0,1,0,0,3164
TOLEDO CITY GENERAL HOSPITAL,2020-04-17 10:09:30,2020-04-17 10:09:30,2020-04-17,0,0,1,0,DOH000000000000233,0,1,0,0,1247
MATILDE A. OLIVAS DISTRICT HOSPITAL,2020-04-19 10:44:52,2020-04-19 10:44:52,2020-04-19,0,0,1,0,DOH000000000000235,0,2,0,0,3017
MATILDE A. OLIVAS DISTRICT HOSPITAL,2020-04-17 8:57:02,2020-04-17 8:57:02,2020-04-17,0,0,1,0,DOH000000000000235,0,2,0,0,1127
MATILDE A. OLIVAS DISTRICT HOSPITAL,2020-04-18 7:16:53,2020-04-18 7:16:53,2020-04-18,0,0,1,0,DOH000000000000235,0,2,0,0,1648
Ospital ng Palawan,2020-04-16 8:13:55,2020-04-16 8:13:55,2020-04-16,0,1,4,4,DOH000000000000236,0,1,4,0,148
CAWAYAN MUNICIPAL HOSPITAL,2020-04-19 6:56:59,2020-04-19 6:56:59,2020-04-19,0,0,0,0,DOH000000000000239,0,0,0,0,2483
CAWAYAN MUNICIPAL HOSPITAL,2020-04-17 6:44:22,2020-04-17 6:44:22,2020-04-17,0,0,0,0,DOH000000000000239,0,0,0,0,747
CAWAYAN MUNICIPAL HOSPITAL,2020-04-18 9:06:29,2020-04-18 9:06:29,2020-04-18,0,0,0,0,DOH000000000000239,0,0,0,0,2022
CAWAYAN MUNICIPAL HOSPITAL,2020-04-16 7:24:48,2020-04-16 7:24:48,2020-04-16,0,0,0,0,DOH000000000000239,0,0,0,0,63
ZAPANTA GENERAL HOSPITAL,2020-04-16 12:16:38,2020-04-16 12:16:38,2020-04-16,0,0,0,0,DOH000000000000240,0,0,0,0,462
ZAPANTA GENERAL HOSPITAL,2020-04-18 7:23:49,2020-04-18 7:23:49,2020-04-18,0,0,0,0,DOH000000000000240,0,0,0,0,1663
ZAPANTA GENERAL HOSPITAL,2020-04-17 7:30:13,2020-04-17 7:30:13,2020-04-17,0,0,0,0,DOH000000000000240,0,0,0,0,800
ZAPANTA GENERAL HOSPITAL,2020-04-19 6:56:28,2020-04-19 6:56:28,2020-04-19,0,0,0,0,DOH000000000000240,0,0,0,0,2480
MAPANDAN COMMUNITY HOSPITAL,2020-04-16 12:11:04,2020-04-16 12:11:04,2020-04-16,0,0,0,0,DOH000000000000243,0,0,0,0,457
MAPANDAN COMMUNITY HOSPITAL,2020-04-17 8:07:05,2020-04-17 8:07:05,2020-04-17,0,0,0,0,DOH000000000000243,0,0,0,0,907
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-16 6:38:43,2020-04-16 6:38:43,2020-04-16,0,0,0,0,DOH000000000000246,0,0,0,0,26
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-17 6:57:40,2020-04-17 6:57:40,2020-04-17,0,0,0,0,DOH000000000000246,0,0,0,0,758
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-18 6:56:44,2020-04-18 6:56:44,2020-04-18,0,0,0,0,DOH000000000000246,0,0,0,0,1622
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-19 6:32:20,2020-04-19 6:32:20,2020-04-19,0,0,0,0,DOH000000000000246,0,0,0,0,2469
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-17 7:34:24,2020-04-17 7:34:24,2020-04-17,0,0,0,0,DOH000000000000247,0,5,0,0,810
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-19 5:43:33,2020-04-19 5:43:33,2020-04-19,0,0,0,0,DOH000000000000247,0,5,0,0,2449
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-18 7:12:49,2020-04-18 7:12:49,2020-04-18,0,0,0,0,DOH000000000000247,0,5,0,0,1643
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-16 10:00:12,2020-04-16 7:20:00,2020-04-16,0,0,0,0,DOH000000000000247,0,5,0,0,59
PANDAN DISTRICT HOSPITAL,2020-04-16 8:27:59,2020-04-16 8:27:59,2020-04-16,0,0,0,11,DOH000000000000252,0,2,0,0,177
PANDAN DISTRICT HOSPITAL,2020-04-17 7:20:30,2020-04-17 7:20:30,2020-04-17,0,0,0,11,DOH000000000000252,0,2,0,0,784
PANDAN DISTRICT HOSPITAL,2020-04-18 9:39:26,2020-04-18 9:39:26,2020-04-18,0,0,0,11,DOH000000000000252,0,2,0,0,2083
PANDAN DISTRICT HOSPITAL,2020-04-19 9:33:21,2020-04-19 9:33:21,2020-04-19,0,0,0,11,DOH000000000000252,0,2,0,0,2930
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,2020-04-16 7:52:49,2020-04-16 7:52:49,2020-04-16,0,0,0,3,DOH000000000000253,0,3,0,0,107
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,2020-04-19 7:57:15,2020-04-19 7:57:15,2020-04-19,0,0,0,3,DOH000000000000253,0,3,0,0,2622
