cfname,updateddate,addeddate,beds_ward_v,id,hfhudcode,icu_o,isolbed_v,reportdate,isolbed_o,mechvent_o,mechvent_v,beds_ward_o,icu_v
QUEZON MEDICARE HOSPITAL,2020-04-16 8:52:32,2020-04-16 8:52:32,0,237,DOH000000000000228,0,0,2020-04-16,0,0,0,0,0
LASAM DISTRICT HOSPITAL,2020-04-17 12:46:15,2020-04-17 12:46:15,0,1389,DOH000000000000230,0,0,2020-04-17,0,0,0,0,0
LUBANG DISTRICT HOSPITAL,2020-04-16 8:29:02,2020-04-16 8:29:02,0,181,DOH000000000000231,0,3,2020-04-16,0,0,0,0,0
TOLEDO CITY GENERAL HOSPITAL,2020-04-16 14:53:42,2020-04-16 14:53:42,0,587,DOH000000000000233,0,1,2020-04-16,1,0,0,0,0
TOLEDO CITY GENERAL HOSPITAL,2020-04-17 10:09:30,2020-04-17 10:09:30,0,1247,DOH000000000000233,0,1,2020-04-17,1,0,0,0,0
MATILDE A. OLIVAS DISTRICT HOSPITAL,2020-04-17 8:57:02,2020-04-17 8:57:02,0,1127,DOH000000000000235,0,2,2020-04-17,1,0,0,0,0
Ospital ng Palawan,2020-04-16 8:13:55,2020-04-16 8:13:55,4,148,DOH000000000000236,0,1,2020-04-16,4,1,0,0,4
CAWAYAN MUNICIPAL HOSPITAL,2020-04-17 6:44:22,2020-04-17 6:44:22,0,747,DOH000000000000239,0,0,2020-04-17,0,0,0,0,0
CAWAYAN MUNICIPAL HOSPITAL,2020-04-16 7:24:48,2020-04-16 7:24:48,0,63,DOH000000000000239,0,0,2020-04-16,0,0,0,0,0
ZAPANTA GENERAL HOSPITAL,2020-04-17 7:30:13,2020-04-17 7:30:13,0,800,DOH000000000000240,0,0,2020-04-17,0,0,0,0,0
ZAPANTA GENERAL HOSPITAL,2020-04-16 12:16:38,2020-04-16 12:16:38,0,462,DOH000000000000240,0,0,2020-04-16,0,0,0,0,0
MAPANDAN COMMUNITY HOSPITAL,2020-04-16 12:11:04,2020-04-16 12:11:04,0,457,DOH000000000000243,0,0,2020-04-16,0,0,0,0,0
MAPANDAN COMMUNITY HOSPITAL,2020-04-17 8:07:05,2020-04-17 8:07:05,0,907,DOH000000000000243,0,0,2020-04-17,0,0,0,0,0
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-17 6:57:40,2020-04-17 6:57:40,0,758,DOH000000000000246,0,0,2020-04-17,0,0,0,0,0
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-16 6:38:43,2020-04-16 6:38:43,0,26,DOH000000000000246,0,0,2020-04-16,0,0,0,0,0
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-16 10:00:12,2020-04-16 7:20:00,0,59,DOH000000000000247,0,5,2020-04-16,0,0,0,0,0
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-17 7:34:24,2020-04-17 7:34:24,0,810,DOH000000000000247,0,5,2020-04-17,0,0,0,0,0
PANDAN DISTRICT HOSPITAL,2020-04-16 8:27:59,2020-04-16 8:27:59,11,177,DOH000000000000252,0,2,2020-04-16,0,0,0,0,0
PANDAN DISTRICT HOSPITAL,2020-04-17 7:20:30,2020-04-17 7:20:30,11,784,DOH000000000000252,0,2,2020-04-17,0,0,0,0,0
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,2020-04-16 7:52:49,2020-04-16 7:52:49,3,107,DOH000000000000253,0,3,2020-04-16,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SINAIT,2020-04-16 8:40:10,2020-04-16 8:40:10,0,204,DOH000000000000254,0,0,2020-04-16,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SINAIT,2020-04-17 8:18:00,2020-04-17 8:18:00,0,973,DOH000000000000254,0,0,2020-04-17,0,0,0,0,0
DONSOL DISTRICT HOSPITAL,2020-04-17 7:03:10,2020-04-17 7:03:10,0,764,DOH000000000000257,0,0,2020-04-17,0,0,0,0,0
SANTA CRUZ DISTRICT HOSPITAL,2020-04-17 9:34:50,2020-04-17 9:34:50,0,1188,DOH000000000000260,0,0,2020-04-17,0,0,0,0,0
SANTA CRUZ DISTRICT HOSPITAL,2020-04-16 10:44:29,2020-04-16 10:44:29,0,381,DOH000000000000260,0,0,2020-04-16,0,0,0,0,0
VIGA DISTRICT HOSPITAL,2020-04-16 11:25:37,2020-04-16 11:25:37,1,411,DOH000000000000261,0,1,2020-04-16,0,0,0,0,0
VIGA DISTRICT HOSPITAL,2020-04-17 8:47:23,2020-04-17 8:47:23,1,1092,DOH000000000000261,0,1,2020-04-17,0,0,0,0,0
CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,2020-04-16 10:41:35,2020-04-16 10:41:35,2,378,DOH000000000000264,0,2,2020-04-16,0,0,0,0,0
CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,2020-04-17 8:39:07,2020-04-17 8:39:07,2,1067,DOH000000000000264,0,2,2020-04-17,0,0,0,0,0
URDANETA DISTRICT HOSPITAL,2020-04-17 8:45:32,2020-04-17 8:45:32,0,1086,DOH000000000000265,0,1,2020-04-17,2,8,0,0,0
URDANETA DISTRICT HOSPITAL,2020-04-16 12:02:37,2020-04-16 12:02:37,0,451,DOH000000000000265,0,0,2020-04-16,3,0,0,0,0
CAMARINES NORTE PROVINCIAL HOSPITAL,2020-04-17 7:24:39,2020-04-17 7:24:39,0,786,DOH000000000000266,0,0,2020-04-17,0,0,0,0,0
CAMARINES NORTE PROVINCIAL HOSPITAL,2020-04-16 7:36:46,2020-04-16 7:36:46,0,81,DOH000000000000266,0,0,2020-04-16,0,0,0,0,0
Masbate Provincial Hospital,2020-04-16 8:29:35,2020-04-16 8:29:35,0,182,DOH000000000000267,0,0,2020-04-16,0,0,0,0,0
Masbate Provincial Hospital,2020-04-17 10:53:29,2020-04-17 10:53:29,0,1297,DOH000000000000267,0,7,2020-04-17,0,0,0,0,0
DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-16 14:58:41,2020-04-16 14:58:41,2,589,DOH000000000000276,6,2,2020-04-16,10,5,0,6,0
ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-17 8:14:01,2020-04-17 8:14:01,0,950,DOH000000000000280,0,0,2020-04-17,1,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-16 8:18:14,2020-04-16 8:18:14,0,160,DOH000000000000280,0,0,2020-04-16,1,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,2020-04-17 8:26:39,2020-04-17 8:26:39,0,1011,DOH000000000000281,0,17,2020-04-17,2,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,2020-04-16 17:44:38,2020-04-16 17:44:38,0,690,DOH000000000000281,0,17,2020-04-16,2,0,0,0,0
JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL,2020-04-17 7:43:54,2020-04-17 7:43:54,0,823,DOH000000000000292,0,0,2020-04-17,0,0,0,0,0
RECEL MEDICAL CLINIC AND HOSPITAL,2020-04-17 7:26:31,2020-04-17 7:26:31,0,789,DOH000000000000296,0,0,2020-04-17,0,0,0,0,0
RECEL MEDICAL CLINIC AND HOSPITAL,2020-04-16 12:08:43,2020-04-16 12:08:43,0,456,DOH000000000000296,0,0,2020-04-16,0,0,0,0,0
DR. MIGUEL V. ALEGRE HOSPITAL,2020-04-17 6:58:56,2020-04-17 6:58:56,0,759,DOH000000000000298,0,0,2020-04-17,0,0,0,0,0
DR. MIGUEL V. ALEGRE HOSPITAL,2020-04-16 7:27:08,2020-04-16 7:27:08,0,68,DOH000000000000298,0,0,2020-04-16,0,0,0,0,0
GARCHITORENA MEDICARE COMMUNITY HOSPITAL,2020-04-17 9:16:15,2020-04-17 9:16:15,0,1161,DOH000000000000308,0,1,2020-04-17,0,0,0,0,0
GARCHITORENA MEDICARE COMMUNITY HOSPITAL,2020-04-16 8:51:43,2020-04-16 8:51:43,0,235,DOH000000000000308,0,1,2020-04-16,0,0,0,0,0
JOSE PANGANIBAN PRIMARY HOSPITAL SERVICE COOPERATIVE,2020-04-16 16:26:59,2020-04-16 8:07:47,0,139,DOH000000000000309,0,0,2020-04-16,0,0,0,0,0
JOSE PANGANIBAN PRIMARY HOSPITAL SERVICE COOPERATIVE,2020-04-17 7:47:38,2020-04-17 7:47:38,0,832,DOH000000000000309,0,0,2020-04-17,0,0,0,0,0
SINAWILAN CLINIC & HOSPITAL AND HOSPITAL,2020-04-17 13:33:53,2020-04-17 13:33:53,0,1421,DOH000000000000310,0,0,2020-04-17,0,0,0,0,0
SINAWILAN CLINIC & HOSPITAL AND HOSPITAL,2020-04-16 8:41:48,2020-04-16 8:41:48,0,210,DOH000000000000310,0,0,2020-04-16,0,0,0,0,0
AGOO FAMILY HOSPITAL,2020-04-17 11:53:35,2020-04-17 11:53:35,0,1354,DOH000000000000312,0,0,2020-04-17,0,0,0,0,0
DR. VICTOR S. VILLAROMAN MEMORIAL HOSPITAL,2020-04-17 9:46:21,2020-04-17 9:46:21,0,1214,DOH000000000000318,0,1,2020-04-17,0,0,0,0,0
DR. VICTOR S. VILLAROMAN MEMORIAL HOSPITAL,2020-04-16 8:46:41,2020-04-16 8:46:41,0,227,DOH000000000000318,0,1,2020-04-16,0,0,0,0,0
RICO'S HOSPITAL,2020-04-17 7:14:44,2020-04-17 7:14:44,0,776,DOH000000000000319,0,0,2020-04-17,0,0,0,0,0
RICO'S HOSPITAL,2020-04-16 9:48:35,2020-04-16 9:48:35,0,318,DOH000000000000319,0,0,2020-04-16,0,0,0,0,0
BUNGABONG-SANICO MEDICAL CLINIC & MATERNITY HOSPITAL,2020-04-17 8:37:15,2020-04-17 8:37:15,0,1058,DOH000000000000323,0,0,2020-04-17,0,0,0,0,0
BUNGABONG-SANICO MEDICAL CLINIC & MATERNITY HOSPITAL,2020-04-16 8:50:12,2020-04-16 8:50:12,0,232,DOH000000000000323,0,0,2020-04-16,0,0,0,0,0
CLINICA ISAGUIRRE,2020-04-17 11:38:10,2020-04-17 11:38:10,0,1343,DOH000000000000328,0,0,2020-04-17,0,0,0,0,0
"NABUNTURAN DOCTORS HOSP., INC.",2020-04-16 12:25:57,2020-04-16 12:25:57,0,473,DOH000000000000333,0,0,2020-04-16,0,0,0,0,0
"NABUNTURAN DOCTORS HOSP., INC.",2020-04-17 8:23:45,2020-04-17 8:23:45,0,1001,DOH000000000000333,0,0,2020-04-17,0,0,0,0,0
ST. FELIX MEDICAL HOSPITAL,2020-04-17 10:57:17,2020-04-17 10:57:17,0,1301,DOH000000000000336,0,0,2020-04-17,0,0,0,0,0
URDUJA GENERAL HOSPITAL,2020-04-17 11:00:03,2020-04-17 11:00:03,0,1308,DOH000000000000337,0,0,2020-04-17,0,0,0,0,0
VIACRUCIS MEDICAL HOSPITAL,2020-04-17 7:59:12,2020-04-17 7:59:12,0,869,DOH000000000000338,0,0,2020-04-17,0,0,0,0,0
VIACRUCIS MEDICAL HOSPITAL,2020-04-16 9:59:57,2020-04-16 9:59:57,0,331,DOH000000000000338,0,0,2020-04-16,0,0,0,0,0
"CUISON HOSPITAL, INC.",2020-04-17 8:34:29,2020-04-17 8:34:29,0,1039,DOH000000000000340,0,0,2020-04-17,0,0,0,0,0
"CUISON HOSPITAL, INC.",2020-04-16 9:12:06,2020-04-16 9:12:06,0,274,DOH000000000000340,0,0,2020-04-16,0,0,0,0,0
PIRA HOSPITAL,2020-04-17 13:55:50,2020-04-17 13:55:50,5,1433,DOH000000000000343,0,6,2020-04-17,0,0,0,0,0
LUMBIS RANCES GENERAL HOSPITAL,2020-04-17 8:41:16,2020-04-17 8:41:16,0,1075,DOH000000000000346,0,0,2020-04-17,0,0,0,0,0
LUMBIS RANCES GENERAL HOSPITAL,2020-04-16 9:31:05,2020-04-16 9:31:05,0,301,DOH000000000000346,0,0,2020-04-16,0,0,0,0,0
ERNESTOGUADALUPECOMM.HOSPITAL,2020-04-16 19:08:10,2020-04-16 19:08:10,0,706,DOH000000000000354,0,0,2020-04-16,0,0,0,0,0
ERNESTOGUADALUPECOMM.HOSPITAL,2020-04-17 7:51:04,2020-04-17 7:51:04,0,841,DOH000000000000354,0,0,2020-04-17,0,0,0,0,0
SULOP MEDICAL CLINIC,2020-04-17 9:17:01,2020-04-17 9:17:01,0,1162,DOH000000000000355,0,0,2020-04-17,0,0,0,0,0
SULOP MEDICAL CLINIC,2020-04-16 12:46:42,2020-04-16 12:46:42,0,482,DOH000000000000355,0,0,2020-04-16,0,0,0,0,0
LUDOVICE GENERAL HOSPITAL,2020-04-17 8:01:31,2020-04-17 8:01:31,0,880,DOH000000000000358,0,0,2020-04-17,0,0,0,0,0
LUDOVICE GENERAL HOSPITAL,2020-04-16 7:19:34,2020-04-16 7:19:34,0,57,DOH000000000000358,0,0,2020-04-16,0,0,0,0,0
RESONABLE HOSPITAL,2020-04-16 14:00:01,2020-04-16 14:00:01,0,534,DOH000000000000359,0,0,2020-04-16,0,0,0,0,0
RESONABLE HOSPITAL,2020-04-17 9:03:17,2020-04-17 9:03:17,0,1136,DOH000000000000359,0,0,2020-04-17,0,0,0,0,0
DR. ROBOSA HOSPITAL,2020-04-16 7:51:20,2020-04-16 7:51:20,0,103,DOH000000000000363,0,0,2020-04-16,0,0,0,0,0
DR. ROBOSA HOSPITAL,2020-04-17 8:08:33,2020-04-17 8:08:33,0,917,DOH000000000000363,0,0,2020-04-17,0,0,0,0,0
REYES ULEP CLINIC AND HOSPITAL,2020-04-16 17:00:43,2020-04-16 17:00:43,0,671,DOH000000000000365,0,0,2020-04-16,0,0,0,0,0
ELGUIRA GENERAL HOSPITAL,2020-04-17 10:31:43,2020-04-17 10:31:43,1,1275,DOH000000000000370,0,1,2020-04-17,0,0,0,0,1
"ALBAY DOCTORS? HOSPITAL, INC.",2020-04-17 9:42:44,2020-04-17 9:42:44,0,1208,DOH000000000000374,0,1,2020-04-17,0,0,0,0,0
"ALBAY DOCTORS? HOSPITAL, INC.",2020-04-16 7:25:59,2020-04-16 7:25:59,0,64,DOH000000000000374,0,1,2020-04-16,0,0,0,0,0
ST. JAMES HOSPITAL VQR MEDICAL FOUNDATION,2020-04-16 12:06:52,2020-04-16 12:06:52,0,453,DOH000000000000376,0,0,2020-04-16,0,0,0,0,0
ST. JAMES HOSPITAL VQR MEDICAL FOUNDATION,2020-04-17 8:34:17,2020-04-17 8:34:17,0,1038,DOH000000000000376,0,0,2020-04-17,0,0,0,0,0
CAUAYAN MEDICAL SPECIALISTS HOSPITAL,2020-04-16 9:20:42,2020-04-16 9:20:42,0,288,DOH000000000000378,0,0,2020-04-16,0,0,0,0,0
"DR. AMANDO D. COPE MEMORIAL HOSPITAL, INC.",2020-04-16 14:42:09,2020-04-16 14:42:09,0,577,DOH000000000000382,0,0,2020-04-16,0,0,0,0,0
"DR. AMANDO D. COPE MEMORIAL HOSPITAL, INC.",2020-04-17 7:18:58,2020-04-17 7:18:58,0,783,DOH000000000000382,0,0,2020-04-17,0,0,0,0,0
LYCEUM OF APARRI HOSPITAL,2020-04-17 8:13:24,2020-04-17 8:13:24,0,948,DOH000000000000384,0,1,2020-04-17,0,0,0,0,0
LYCEUM OF APARRI HOSPITAL,2020-04-16 7:45:31,2020-04-16 7:45:31,0,91,DOH000000000000384,0,1,2020-04-16,0,0,0,0,0
OUR LADY MEDIATRIX HOSPITAL,2020-04-16 7:51:44,2020-04-16 7:51:44,2,104,DOH000000000000385,0,2,2020-04-16,0,0,0,0,0
OUR LADY MEDIATRIX HOSPITAL,2020-04-17 8:17:23,2020-04-17 8:17:23,2,969,DOH000000000000385,0,2,2020-04-17,0,0,0,0,0
"STA. MARIA JOSEFA HOSPITAL FOUNDATION, INC",2020-04-16 7:36:11,2020-04-16 7:36:11,0,80,DOH000000000000386,0,0,2020-04-16,0,0,0,0,0
"STA. MARIA JOSEFA HOSPITAL FOUNDATION, INC",2020-04-17 8:48:48,2020-04-17 8:48:48,0,1096,DOH000000000000386,0,0,2020-04-17,0,0,0,0,0
SUNGA HOSPITAL,2020-04-16 18:26:58,2020-04-16 18:26:58,0,702,DOH000000000000387,0,0,2020-04-16,0,0,0,0,0
"TANCHULING GENERAL HOSPITAL, INC.",2020-04-17 6:06:23,2020-04-17 6:06:23,0,730,DOH000000000000390,0,0,2020-04-17,0,0,0,0,1
"TANCHULING GENERAL HOSPITAL, INC.",2020-04-16 6:37:44,2020-04-16 6:37:44,0,24,DOH000000000000390,0,1,2020-04-16,0,0,0,0,0
BLANCIA HOSPITAL,2020-04-17 10:29:15,2020-04-17 10:29:15,0,1269,DOH000000000000395,0,0,2020-04-17,0,0,0,0,0
BISHOP JOSEPH REGAN MEMORIAL HOSPITAL (formerly CHRIST THE K,2020-04-17 10:20:22,2020-04-17 10:20:22,0,1258,DOH000000000000398,0,0,2020-04-17,0,0,0,0,0
BISHOP JOSEPH REGAN MEMORIAL HOSPITAL (formerly CHRIST THE K,2020-04-16 14:20:04,2020-04-16 14:20:04,0,559,DOH000000000000398,0,0,2020-04-16,0,0,0,0,0
"NUEVA ECIJA DOCTORS? HOSPITAL, INC.",2020-04-16 14:04:31,2020-04-16 14:04:31,0,540,DOH000000000000399,3,0,2020-04-16,4,2,0,3,0
AGO GENERAL HOSPITAL,2020-04-16 8:42:33,2020-04-16 8:42:33,0,214,DOH000000000000402,0,0,2020-04-16,0,0,0,0,0
AGO GENERAL HOSPITAL,2020-04-17 8:11:24,2020-04-17 8:11:24,0,934,DOH000000000000402,0,6,2020-04-17,0,0,0,0,0
"ANTIPAS MEDICAL SPECIALIST HOSPITAL, INC.",2020-04-16 8:46:33,2020-04-16 8:46:33,9,226,DOH000000000000404,0,1,2020-04-16,0,0,0,0,0
"ANTIPAS MEDICAL SPECIALIST HOSPITAL, INC.",2020-04-17 7:53:55,2020-04-17 7:53:55,9,851,DOH000000000000404,0,1,2020-04-17,0,0,0,0,0
ARTECHE DISTRICT HOSPITAL,2020-04-17 12:01:46,2020-04-17 12:01:46,0,1359,DOH000000000000407,0,0,2020-04-17,0,0,0,0,0
ARTECHE DISTRICT HOSPITAL,2020-04-16 19:41:05,2020-04-16 19:41:05,0,710,DOH000000000000407,0,0,2020-04-16,0,0,0,0,0
BASILAN COMMUNITY HOSPITAL,2020-04-16 9:30:27,2020-04-16 9:30:27,0,299,DOH000000000000425,0,2,2020-04-16,0,0,0,0,0
