updateddate,addeddate,reportdate,mechvent_tech,goggles,er_nurse,gloves,icu_nurse,head_cover,pulmo,respthe,shoe_cover,face_shield,ward_nurse,id,hfhudcode,ic_specialist,surgmask,medtech,gown,resident,id_specialist,n95mask,cfname
2020-04-10 14:58:59,2020-04-10 14:58:59,2020-04-10,0,0,0,3418,0,7200,0,0,640,0,1899-12-30,390,DOH000000000004534,0,802,0,295,0,0,696,DAVAO DOCTORS HOSPITAL
2020-04-10 16:00:13,2020-04-10 16:00:13,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,458,DOH000000000006900,0,0,0,0,0,0,0,R AND L MEDICAL CLINIC
2020-04-03 12:13:25,2020-04-03 12:13:25,2020-04-03,0,0,0,1,0,0,0,0,0,0,1899-12-31,99,DOH000000000004522,0,1,0,0,1,0,0,SEÑOR TESORO HOSPITAL
2020-04-04 8:44:06,2020-04-04 8:44:06,2020-04-04,0,0,0,30,0,10,0,0,25,10,1899-12-30,227,DOH000000000038151,0,2,0,30,0,0,1,DARAGA DOCTORS HOSPITAL
2020-04-10 8:12:23,2020-04-10 8:12:23,2020-04-10,0,0,0,100,0,600,0,0,0,10,1899-12-30,287,DOH000000000038151,0,10,0,3,0,0,25,DARAGA DOCTORS HOSPITAL
2020-04-06 9:03:40,2020-04-06 9:03:40,2020-04-06,0,0,0,270,0,700,0,0,0,15,1899-12-30,252,DOH000000000038151,0,15,0,10,0,0,1,DARAGA DOCTORS HOSPITAL
2020-04-10 15:56:01,2020-04-10 15:56:01,2020-04-10,0,2,0,2,0,100,0,0,0,15,1899-12-30,447,DOH000000000027113,0,0,0,2,0,0,0,HIBO-FRANCISCO HOSPITAL
2020-04-10 16:22:48,2020-04-10 16:22:48,2020-04-10,0,0,0,1,0,0,0,0,0,3,1899-12-30,493,DOH000000000037946,0,1,0,0,0,0,0,LB CRUEL MEDICAL CLINIC
2020-04-03 4:10:15,2020-04-03 4:10:15,2020-04-03,0,23,0,105,0,2074,0,0,10,28,1899-12-30,179,DOH000000000000672,0,52,0,102,0,0,7,MINDANAO MEDICAL CENTER
2020-04-10 15:45:19,2020-04-10 15:28:17,2020-04-10,0,5,0,80,0,827,0,0,0,0,1899-12-30,410,DOH000000000000672,0,27,0,32,0,0,10,MINDANAO MEDICAL CENTER
2020-04-10 9:25:17,2020-04-10 9:25:17,2020-04-10,0,5,0,3,0,30,0,0,20,8,1899-12-30,304,DOH000000000001933,0,3,0,10,0,0,10,MIRANDA FAMILY HOSPITAL
2020-04-10 9:52:11,2020-04-10 9:52:11,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,309,DOH000000000024002,0,0,0,0,0,0,0,TIGAON PRIMARY HOSPITAL
2020-04-10 14:44:31,2020-04-10 14:44:31,2020-04-10,0,1,0,6,0,0,0,0,1,5,1899-12-30,380,DOH000000000003928,0,2,0,0,0,0,3,LIANGA DISTRICT HOSPITAL
2020-04-03 17:13:21,2020-04-03 17:13:21,2020-04-03,0,1,0,5,0,0,0,0,0,0,1899-12-30,210,DOH000000000003928,0,3,0,0,0,0,3,LIANGA DISTRICT HOSPITAL
2020-04-12 9:45:54,2020-04-12 9:45:54,2020-04-12,0,70,0,30,0,400,0,0,100,2,1900-01-03,614,DOH000000000001880,0,10,1,55,3,0,2,PALANAN STATION HOSPITAL
2020-04-03 3:19:13,2020-04-03 3:19:13,2020-04-03,0,3,0,5,0,25,0,0,25,25,1900-01-03,135,DOH000000000003553,0,5,2,25,0,0,0,PALAWAN BAPTIST HOSPITAL
2020-04-10 16:22:00,2020-04-10 16:22:00,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,491,DOH000000000000477,0,0,0,0,0,0,0,DRAZEN COMMUNITY HOSPITAL
2020-04-10 8:06:27,2020-04-10 8:06:27,2020-04-10,0,0,0,83,0,389,0,0,0,0,1899-12-30,284,DOH000000000004052,0,18,0,0,0,0,7,ITBAYAT DISTRICT HOSPITAL
2020-04-10 11:48:57,2020-04-10 11:48:57,2020-04-10,0,0,0,2,0,0,0,0,0,12,1899-12-30,331,DOH000000000006020,0,0,0,7,0,0,10,JASAAN MUNICIPAL HOSPITAL
2020-04-10 15:46:26,2020-04-10 15:46:26,2020-04-10,0,10,0,4,0,90,0,0,10,8,1899-12-30,426,DOH000000000002154,0,66,0,6,0,0,14,LORETO MUNICIPAL HOSPITAL
2020-04-10 16:48:34,2020-04-10 16:48:34,2020-04-10,0,0,0,3,0,50,0,0,0,23,1899-12-30,520,DOH000000000000384,0,2,0,10,0,0,0,LYCEUM OF APARRI HOSPITAL
2020-04-03 4:02:07,2020-04-03 4:02:07,2020-04-03,0,0,0,50,0,50,0,0,0,23,1899-12-30,176,DOH000000000000384,0,0,0,10,0,0,0,LYCEUM OF APARRI HOSPITAL
2020-04-10 16:19:21,2020-04-10 16:19:21,2020-04-10,0,0,0,1,0,0,0,0,0,16,1899-12-30,488,DOH000000000001955,0,1,0,6,0,0,0,MAGTABOG GENERAL HOSPITAL
2020-04-11 8:30:21,2020-04-11 8:30:21,2020-04-11,0,2,0,500,0,1000,0,0,500,0,1899-12-30,580,DOH000000000003561,0,10,0,300,0,0,1,MANUEL J. SANTOS HOSPITAL
2020-04-03 1:53:40,2020-04-03 1:53:40,2020-04-03,0,2,0,62,0,1200,0,0,240,90,1899-12-30,113,DOH000000000003561,0,2,0,350,0,0,10,MANUEL J. SANTOS HOSPITAL
2020-04-10 16:53:10,2020-04-10 16:53:10,2020-04-10,0,5,0,4,0,0,0,0,0,8,1899-12-30,527,DOH000000000005962,0,1,0,3,0,0,1,RETUERMA GENERAL HOSPITAL
2020-04-10 16:09:10,2020-04-10 16:09:10,2020-04-10,0,1,0,2,0,20,0,0,1,0,1899-12-30,474,DOH000000000004568,0,2,0,1,0,0,0,SARANGANI MUNICIPAL HOSP.
2020-04-10 16:31:44,2020-04-10 16:31:44,2020-04-10,0,5,0,350,0,50,0,0,0,0,1900-01-05,499,DOH000000000002851,0,2,1,0,2,0,1,SOCORRO DISTRICT HOSPITAL
2020-04-03 11:01:50,2020-04-03 11:01:50,2020-04-03,0,15,0,300,0,100,0,0,0,0,1900-01-04,93,DOH000000000002851,0,0,1,0,2,0,0,SOCORRO DISTRICT HOSPITAL
2020-04-10 15:59:19,2020-04-10 15:59:19,2020-04-10,0,0,0,0,0,0,0,0,0,0,1900-01-03,455,DOH000000000002129,0,0,0,0,0,0,0,CLAVERIA DISTRICT HOSPITAL
2020-04-10 15:51:36,2020-04-10 15:51:36,2020-04-10,0,12,0,8,0,175,0,0,0,4,1899-12-30,440,DOH000000000037412,0,11,0,0,0,0,0,HOSPITAL DE ZAMBOANGA INC.
2020-04-10 16:27:27,2020-04-10 16:27:27,2020-04-10,0,0,0,5,0,25,0,0,5,15,1899-12-31,497,DOH000000000002843,0,2,1,6,1,0,8,JABONGA MUNICIPAL HOSPITAL
2020-04-10 16:39:06,2020-04-10 16:39:06,2020-04-10,0,3,0,10,0,70,0,0,0,30,1899-12-30,509,DOH000000000037752,0,1,0,6,0,0,0,MANUPAC DOCTORS HEALTHCARE
2020-04-03 3:12:53,2020-04-03 3:12:53,2020-04-03,0,4,0,6,0,6,0,0,1,5,1899-12-30,134,DOH000000000005446,0,1,0,4,0,0,6,PATHFINDER ESTATE HOSPITAL
2020-04-10 15:59:19,2020-04-10 15:59:19,2020-04-10,0,4,0,6,0,5,0,0,3,10,1899-12-30,456,DOH000000000005446,0,0,0,5,0,0,6,PATHFINDER ESTATE HOSPITAL
2020-04-11 15:12:31,2020-04-11 15:12:31,2020-04-11,0,7,0,10,0,3,0,0,1,50,1899-12-30,605,DOH000000000000338,0,0,0,11,0,0,0,VIACRUCIS MEDICAL HOSPITAL
2020-04-10 16:16:24,2020-04-10 16:16:24,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,485,DOH000000000003764,0,0,0,0,0,0,0,BONGCAS HOLY CHILD HOSPITAL
2020-04-10 16:35:06,2020-04-10 16:35:06,2020-04-10,0,30,0,2,0,0,0,0,0,20,1899-12-30,507,DOH000000000001663,0,1,0,0,0,0,0,CARAMOAN MUNICIPAL HOSPITAL
2020-04-12 15:59:09,2020-04-12 15:59:09,2020-04-12,0,293,0,92,0,400,0,0,225,1137,1899-12-30,622,DOH000000000000587,0,26,0,279,0,0,58,J.R. BORJA GENERAL HOSPITAL
2020-04-10 16:22:54,2020-04-10 16:22:54,2020-04-10,0,0,0,0,0,0,0,0,0,10,1899-12-31,494,DOH000000000037754,0,0,0,0,1,0,0,JABONGA COMMUNITY INFIRMARY
2020-04-10 12:07:03,2020-04-10 12:07:03,2020-04-10,0,8,0,100,0,8,0,0,8,10,1899-12-30,337,DOH000000000004957,0,20,0,8,0,0,0,OLUTANGA MUNICIPAL HOSPITAL
2020-04-10 11:19:13,2020-04-10 11:19:13,2020-04-10,0,27,0,56,0,500,0,0,10,57,1899-12-30,327,DOH000000000000385,0,17,0,18,0,0,1,OUR LADY MEDIATRIX HOSPITAL
2020-04-10 15:43:35,2020-04-10 15:43:35,2020-04-10,0,15,0,20,0,350,0,0,70,30,1899-12-30,423,DOH000000000002495,0,0,0,46,0,0,4,SAN CARLOS DOCTORS' HOSPITAL
2020-04-03 3:37:25,2020-04-03 3:37:25,2020-04-03,0,17,0,50,0,150,0,0,70,93,1899-12-30,157,DOH000000000002495,0,0,0,50,0,0,4,SAN CARLOS DOCTORS' HOSPITAL
2020-04-10 15:49:52,2020-04-10 15:49:52,2020-04-10,0,4,0,0,0,0,0,0,0,15,1899-12-30,434,DOH000000000007513,0,0,0,30,0,0,0,BAYUGAN CITY DOCTORS HOSPITAL
2020-04-03 4:00:38,2020-04-03 4:00:38,2020-04-03,0,6,0,5,0,0,0,0,0,30,1899-12-30,174,DOH000000000007513,0,2,0,40,0,0,1,BAYUGAN CITY DOCTORS HOSPITAL
2020-04-10 14:37:17,2020-04-10 14:37:17,2020-04-10,0,80,0,7,0,337,0,0,175,18,1899-12-30,376,DOH000000000004969,0,16,0,217,0,0,2,CAMP NAVARRO GENERAL HOSPITAL
2020-04-10 17:20:58,2020-04-10 17:20:58,2020-04-10,0,246,0,11,9,100,3,2,440,103,1900-01-24,539,DOH000000000000268,1,350,3,148,10,2,300,DAVAO REGIONAL MEDICAL CENTER
2020-03-31 12:47:54,2020-03-31 12:47:54,2020-03-31,0,12,0,7,0,108,0,0,20,22,1899-12-30,43,DOH000000000000770,0,8,1,12,0,0,8,ST. MARTIN'S MISSION HOSPITAL
2020-04-10 19:02:00,2020-04-10 19:02:00,2020-04-10,0,49,0,97,0,266,0,0,0,225,1899-12-30,553,DOH000000000004076,0,480,0,266,0,0,998,"ADVENTIST HOSPITAL-DAVAO, INC."
2020-04-03 21:10:24,2020-04-03 21:10:24,2020-04-03,0,5,0,100,0,106,0,0,0,200,1899-12-30,226,DOH000000000004076,0,160,0,106,0,0,700,"ADVENTIST HOSPITAL-DAVAO, INC."
2020-04-10 21:24:14,2020-04-10 21:24:14,2020-04-10,0,2,0,3,0,0,0,0,0,8,1899-12-30,567,DOH000000000000377,0,10,0,7,0,0,0,"DAVAO MEDIQUEST HOSPITAL, INC."
2020-04-10 15:39:16,2020-04-10 15:39:16,2020-04-10,0,1,0,3,0,8,0,0,0,50,1899-12-30,417,DOH000000000003562,0,0,0,10,0,0,1,TRIFON SAILE MEMORIAL HOSPITAL
2020-04-07 16:20:40,2020-04-07 16:20:40,2020-04-07,0,0,0,0,0,0,0,0,0,0,1899-12-30,272,DOH000000000000553,0,0,0,0,0,0,0,GINGOOG SANITARIUM AND HOSPITAL
2020-04-11 6:59:57,2020-04-11 6:59:57,2020-04-11,0,30,0,10,0,100,0,0,100,70,1899-12-30,573,DOH000000000004637,0,5,0,50,0,0,5,"NAZARETH GENERAL HOSPITAL, INC."
2020-03-29 11:09:14,2020-03-29 11:09:14,2020-03-29,0,6,0,3,0,20,0,0,20,10,1899-12-30,23,DOH000000000004637,0,3,0,6,0,0,1,"NAZARETH GENERAL HOSPITAL, INC."
2020-04-05 7:05:41,2020-04-05 7:05:41,2020-04-05,0,30,0,10,0,50,0,0,50,30,1899-12-30,245,DOH000000000004637,0,5,0,50,0,0,2,"NAZARETH GENERAL HOSPITAL, INC."
2020-04-10 15:39:25,2020-04-10 15:39:25,2020-04-10,0,0,0,5,0,10,0,0,0,10,1899-12-30,418,DOH000000000000472,0,10,0,0,0,0,2,"DIGNUM FOUNDATION HOSPITAL, INC."
2020-04-10 12:15:06,2020-04-10 12:15:06,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,339,DOH000000000004692,0,0,0,0,0,0,0,NEW BULAN ST. JUDE MEDICAL CLINIC
2020-04-10 16:09:12,2020-04-10 16:09:12,2020-04-10,0,0,0,10,0,50,0,0,0,20,1899-12-30,475,DOH000000000000390,0,5,0,10,0,0,0,"TANCHULING GENERAL HOSPITAL, INC."
2020-04-10 15:27:34,2020-04-10 15:27:34,2020-04-10,0,0,0,107,0,50,0,0,164,97,1899-12-30,408,DOH000000000007036,0,42,0,11,0,1,5,"ZAMBOANGA DOCTORS? HOSPITAL, INC."
2020-04-10 13:58:01,2020-04-10 13:58:01,2020-04-10,0,2,0,2,0,10,0,0,0,10,1899-12-30,365,DOH000000000002752,0,2,0,8,0,0,1,CARLOS P. ACOSTA CLINIC & HOSPITAL
2020-04-03 3:05:32,2020-04-03 3:05:32,2020-04-03,0,20,0,200,0,4000,0,0,0,200,1899-12-30,131,DOH000000000032023,0,100,0,0,0,0,15,"DIVINE MERCY WELLNESS CENTER, INC."
2020-04-04 13:03:38,2020-04-04 13:03:38,2020-04-04,0,45,0,22,0,300,0,0,157,40,1899-12-30,235,DOH000000000005811,0,20,0,76,0,0,6,"RICARDO LIMSO MEDICAL CENTER, INC."
2020-04-10 8:33:03,2020-04-10 8:33:03,2020-04-10,0,41,0,20,0,400,0,0,135,49,1899-12-30,290,DOH000000000005811,0,22,0,61,0,0,5,"RICARDO LIMSO MEDICAL CENTER, INC."
2020-04-10 16:05:38,2020-04-10 16:05:38,2020-04-10,0,50,0,30,0,0,0,0,6,40,1899-12-30,468,DOH000000000033471,0,0,0,6,0,0,0,"SAN MATEO MULTICARE HOSPITAL, INC."
2020-04-10 10:29:01,2020-04-10 10:29:01,2020-04-10,0,123,0,444,0,2600,0,0,1475,245,1899-12-30,316,DOH000000000006592,0,64,0,39,0,0,28,SOUTH COTABATO PROVINCIAL HOSPITAL
2020-04-03 3:35:35,2020-04-03 3:35:35,2020-04-03,0,5,0,40,0,200,0,0,0,10,1899-12-30,154,DOH000000000002993,0,20,0,5,0,0,0,"ANDA RIVERVIEW MEDICAL CENTER, INC."
2020-04-10 16:16:33,2020-04-10 16:16:33,2020-04-10,0,0,0,10,0,0,0,0,0,20,1899-12-30,486,DOH000000000035565,0,10,0,40,0,0,0,"APAYAO CAGAYAN MEDICAL CENTER, INC."
2020-04-10 16:49:55,2020-04-10 16:49:55,2020-04-10,0,11,0,5,0,25,0,0,11,50,1899-12-30,522,DOH000000000024471,0,5,0,11,0,0,1,CAMP ELIAS ANGELES STATION HOSPITAL
2020-04-10 15:40:49,2020-04-10 15:40:49,2020-04-10,0,10,0,2,0,10,0,0,5,10,1899-12-30,420,DOH000000000007971,0,2,0,10,0,0,1,WILFREDO C. PALMA MEMORIAL HOSPITAL
2020-04-03 16:57:10,2020-04-03 16:57:10,2020-04-03,0,7,0,10,0,0,0,0,3,5,1899-12-30,207,DOH000000000007971,0,0,0,0,0,0,0,WILFREDO C. PALMA MEMORIAL HOSPITAL
2020-04-03 12:12:55,2020-04-03 12:12:55,2020-04-03,0,10,0,2,0,20,0,0,20,2,1899-12-30,98,DOH000000000032432,0,1,0,10,0,0,1,"BRIGINO GENERAL HOSPITAL, INC. (New)"
2020-04-11 8:28:32,2020-04-11 8:28:32,2020-04-11,0,10,0,3,0,100,0,0,50,10,1899-12-30,579,DOH000000000032432,0,1,0,15,0,0,0,"BRIGINO GENERAL HOSPITAL, INC. (New)"
2020-04-10 15:35:58,2020-04-10 15:35:58,2020-04-10,0,4,0,2,0,6,0,0,6,40,1899-12-30,416,DOH000000000003758,0,14,0,11,0,0,0,BUGASONG MEDICARE COMMUNITY HOSPITAL
2020-04-03 4:22:42,2020-04-03 4:22:42,2020-04-03,0,3,0,2,0,5,0,0,5,40,1899-12-30,186,DOH000000000003758,0,19,0,5,0,0,0,BUGASONG MEDICARE COMMUNITY HOSPITAL
2020-04-10 15:23:49,2020-04-10 15:23:49,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,402,DOH000000000033251,0,0,0,0,0,0,0,AURORA COMMUNITY & EMERGENCY HOSPITAL
2020-04-10 9:56:42,2020-04-10 9:56:42,2020-04-10,0,0,0,2,0,10,0,0,0,0,1899-12-30,310,DOH000000000000471,0,2,0,2,0,0,0,DELBERT JON'S POLYCLINIC INCORPORATED
2020-04-03 3:28:18,2020-04-03 3:28:18,2020-04-03,0,7,0,15,0,1000,0,0,0,100,1899-12-30,147,DOH000000000004926,0,20,0,7,0,0,4,GIG OCA ROBLES SEAMEN?S HOSPITAL DAVAO
2020-04-10 13:15:53,2020-04-10 13:15:53,2020-04-10,0,7,0,15,0,1000,0,0,0,100,1899-12-30,352,DOH000000000004926,0,20,0,7,0,0,4,GIG OCA ROBLES SEAMEN?S HOSPITAL DAVAO
2020-04-03 16:41:44,2020-04-03 16:41:44,2020-04-03,0,0,0,3,0,10,0,0,2,50,1899-12-30,199,DOH000000000005566,0,3,0,3,0,0,0,"PLTC, INC. LUIS A. TIAM MEDICAL CENTER"
2020-04-10 14:00:37,2020-04-10 14:00:37,2020-04-10,0,0,0,84,0,600,0,0,0,90,1899-12-30,366,DOH000000000034333,0,2,0,0,0,0,1,CARRASCAL PRIMARY HEALTH CARE INFIRMARY
2020-04-03 9:42:07,2020-04-03 9:42:07,2020-04-03,0,0,0,15,0,100,0,0,0,3,1899-12-30,86,DOH000000000034333,0,3,0,0,0,0,2,CARRASCAL PRIMARY HEALTH CARE INFIRMARY
2020-04-10 15:14:04,2020-04-10 15:14:04,2020-04-10,0,15,0,3,0,75,0,0,10,40,1899-12-30,398,DOH000000000004959,0,1,0,35,0,0,0,MAYOR JOAQUIN MACIAS MEMORIAL INFIRMARY
2020-04-11 18:49:21,2020-04-11 18:49:21,2020-04-11,0,2,0,1,0,10,0,0,5,10,1899-12-30,609,DOH000000000011589,0,2,0,5,0,0,2,"MOTHER OF MERCY HOSPITAL-TACLOBAN, INC."
2020-04-03 12:29:20,2020-04-03 12:29:20,2020-04-03,0,20,0,10,0,200,0,0,0,0,1899-12-30,101,DOH000000000002597,0,3,0,3,0,0,1,"ST. JOHN GENERAL HOSPITAL OF BUUG, INC."
2020-04-10 16:45:07,2020-04-10 16:45:07,2020-04-10,0,18,0,9,0,150,0,0,0,0,1899-12-30,518,DOH000000000002597,0,1,0,9,0,0,0,"ST. JOHN GENERAL HOSPITAL OF BUUG, INC."
2020-04-10 16:41:27,2020-04-10 16:41:27,2020-04-10,0,8,0,1,0,8,0,0,8,20,1899-12-30,512,DOH000000000007527,0,0,0,8,0,0,0,UNIVERSIDAD DE ZAMBOANGA MEDICAL CENTER
2020-04-10 19:47:57,2020-04-10 19:47:57,2020-04-10,0,103,0,293,0,10887,0,0,108,130,1900-01-04,559,DOH000000000007488,0,766,1,172,3,0,530,DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER
2020-04-10 20:00:18,2020-04-10 20:00:18,2020-04-10,0,0,0,0,0,0,0,0,0,0,1899-12-30,561,DOH000000000004256,0,0,0,0,0,0,0,DR. SOFRONIO B. GARCIA MEMORIAL HOSPITAL
2020-04-10 9:11:03,2020-04-10 9:11:03,2020-04-10,0,2,0,2,0,0,0,0,0,0,1899-12-30,301,DOH000000000023762,0,3,0,2,0,0,0,ASENTISTA DOCTORS HOSPITAL AND LABORATORY
2020-04-03 3:26:40,2020-04-03 3:26:40,2020-04-03,0,0,0,0,0,0,0,0,0,0,1899-12-30,145,DOH000000000023762,0,0,0,0,0,0,0,ASENTISTA DOCTORS HOSPITAL AND LABORATORY
2020-04-10 16:32:22,2020-04-10 16:32:22,2020-04-10,0,12,0,100,0,50,0,0,0,1,1899-12-30,500,DOH000000000001656,0,36,0,8,0,0,2,BUKIDNON PROVINCIAL HOSPITAL - KALILANGAN
2020-04-10 17:30:34,2020-04-10 17:30:34,2020-04-10,0,4,0,20,0,50,0,0,0,15,1899-12-30,541,DOH000000000003441,0,0,0,6,0,0,0,DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL
2020-04-03 3:26:03,2020-04-03 3:26:03,2020-04-03,0,18,0,50,0,100,0,0,100,18,1899-12-30,142,DOH000000000000389,0,50,0,18,0,0,5,"LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC."
2020-04-10 8:47:10,2020-04-10 8:47:10,2020-04-10,0,2,0,2,0,100,0,0,0,20,1899-12-30,292,DOH000000000002452,0,2,0,5,0,0,0,LILOY INTEGRATED HEALTH DISTRICT HOSPITAL
2020-04-04 16:30:59,2020-04-04 16:30:59,2020-04-04,0,10,0,10,0,400,0,0,100,40,1899-12-30,240,DOH000000000004797,0,200,0,20,0,0,5,OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL
2020-04-12 3:41:34,2020-04-12 3:41:34,2020-04-12,0,14,0,11,0,382,0,0,82,44,1899-12-30,612,DOH000000000004797,0,22,0,16,0,0,5,OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL
2020-04-11 8:28:19,2020-04-11 8:28:19,2020-04-11,0,2,0,2,0,2,0,0,2,2,1899-12-30,578,DOH000000000032445,0,2,0,2,0,0,2,BARRIOS-BUSINOS MEDICAL CLINIC AND HOSPITAL
2020-04-10 17:02:22,2020-04-10 17:02:22,2020-04-10,0,5,0,150,0,150,0,0,200,50,1899-12-30,529,DOH000000000004517,0,50,0,300,0,0,15,"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC."
2020-04-03 1:29:03,2020-04-03 1:29:03,2020-04-03,0,3,0,3,0,4,0,0,5,40,1899-12-30,107,DOH000000000003555,0,5,0,25,0,0,1,SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER
2020-04-10 15:41:17,2020-04-10 15:41:17,2020-04-10,0,0,0,61,0,327,0,0,8,191,1899-12-30,421,DOH000000000005127,0,71,0,40,0,0,4,"ADVENTIST MEDICAL CENTER-VALENCIA CITY, INC."
2020-04-10 16:27:40,2020-04-10 16:27:40,2020-04-10,0,0,0,3,0,0,0,0,0,30,1899-12-30,498,DOH000000000000461,0,10,0,10,0,0,0,CRISPIN M. PARAGAS MEMORIAL HOSPITAL (Curuan)
2020-04-10 17:27:15,2020-04-10 17:27:15,2020-04-10,0,0,0,4,0,0,0,0,0,0,1900-01-06,540,DOH000000000000143,0,0,1,0,5,0,0,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL
2020-04-10 16:35:50,2020-04-10 16:35:50,2020-04-10,0,0,0,3,0,0,0,0,0,13,1899-12-30,508,DOH000000000037893,0,2,0,0,0,0,1,GONZALES MEDICAL-SURGICAL AND BIRTHING CLINIC
2020-04-11 14:17:43,2020-04-11 14:17:43,2020-04-11,0,50,0,100,0,200,0,0,0,200,1899-12-30,600,DOH000000000027955,0,300,0,100,0,0,20,"METRO DAVAO MEDICAL AND RESEARCH CENTER, INC."
2020-04-11 12:05:54,2020-04-11 12:05:54,2020-04-11,0,10,0,1,0,50,0,0,0,60,1899-12-30,595,DOH000000000007512,0,1,0,0,0,0,0,"CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL, INC."
2020-04-10 10:26:55,2020-04-10 10:26:55,2020-04-10,0,0,0,1,0,0,0,0,0,7,1899-12-30,315,DOH000000000000323,0,0,0,0,0,0,0,BUNGABONG-SANICO MEDICAL CLINIC & MATERNITY HOSPITAL
2020-04-11 9:14:09,2020-04-11 9:14:09,2020-04-11,0,0,0,0,0,0,0,0,0,0,1899-12-30,583,DOH000000000003975,0,0,0,0,0,0,0,NUESTRO ESPIRITU MEDICAL-SURGICAL AND DIAGNOSTIC CLINIC
2020-04-04 11:50:25,2020-04-04 11:50:25,2020-04-04,0,22,0,0,0,115,0,0,16,0,1899-12-30,232,DOH000000000001668,0,0,0,15,0,0,4,VICE GOVERNOR FRANCISCO PONCE DE LEON MEMORIAL HOSPITAL
2020-04-10 16:50:18,2020-04-10 16:50:18,2020-04-10,0,21,0,2,0,33,0,0,62,30,1899-12-30,523,DOH000000000001668,0,4,0,28,0,0,25,VICE GOVERNOR FRANCISCO PONCE DE LEON MEMORIAL HOSPITAL
2020-04-11 8:59:07,2020-04-11 8:59:07,2020-04-11,0,50,0,50,0,200,0,0,10,200,1899-12-30,582,DOH000000000007482,0,50,0,50,0,0,2,DAVAO DEL NORTE HOSPITAL (ISALND GARDEN CITY OF SAMAL ZONE)
