updateddate,addeddate,reporttime,id,icu_np_v,er_suspro,hfhudcode,mechvent_v,beds_ward_v,icu_np_o,mechvent_o,icu_wnp_v,isolbed_o,adm_suspro,beds_ward_o,er_confirm,reportdate,adm_confirm,icu_wnp_o,isolbed_v,cfname
2020-04-09 16:13:52,2020-04-09 16:13:52,3,7611,4,0,DOH000000000000271,32,32,2,26,8,33,31,9,0,2020-04-09,10,6,61,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-06 16:05:40,2020-04-06 16:05:40,3,4769,1,0,DOH000000000000271,40,18,5,18,5,22,18,14,0,2020-04-06,14,9,38,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-08 16:09:57,2020-04-08 16:09:57,3,6585,1,0,DOH000000000000271,32,35,5,26,3,15,21,6,0,2020-04-08,9,11,79,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-01 11:57:01,2020-04-01 11:57:01,2,1576,3,0,DOH000000000000271,23,13,3,35,2,22,36,19,0,2020-04-01,19,12,38,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-14 14:51:24,2020-04-14 14:51:24,3,13119,3,0,DOH000000000000271,41,28,3,17,11,42,35,13,0,2020-04-14,13,3,52,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-11 16:02:10,2020-04-11 16:02:10,3,9613,5,0,DOH000000000000271,37,32,1,21,7,33,31,9,0,2020-04-11,10,7,61,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-13 14:58:35,2020-04-13 14:58:35,3,11741,4,0,DOH000000000000271,38,28,2,20,11,37,28,13,0,2020-04-13,14,3,57,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-03-29 19:59:58,2020-03-29 18:31:08,3,557,4,0,DOH000000000000271,21,24,2,37,5,18,19,8,0,2020-03-29,8,9,42,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-07 15:17:02,2020-04-07 15:17:02,3,5546,1,0,DOH000000000000271,34,32,5,24,3,16,20,9,0,2020-04-07,10,11,78,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-12 15:01:55,2020-04-12 15:01:55,3,10560,5,0,DOH000000000000271,38,30,1,20,8,45,40,11,0,2020-04-12,12,6,49,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-02 12:05:34,2020-04-02 12:05:34,2,2090,3,0,DOH000000000000271,24,11,3,34,2,21,34,21,0,2020-04-02,21,12,39,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-15 7:45:44,2020-04-15 7:45:44,1,13711,3,0,DOH000000000000271,45,24,3,13,7,44,36,17,0,2020-04-15,18,7,50,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-04 16:14:44,2020-04-04 16:14:44,3,3414,2,0,DOH000000000000271,30,13,4,28,5,22,39,19,0,2020-04-04,19,9,38,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-05 17:11:46,2020-04-05 17:11:46,3,4081,2,2,DOH000000000000271,37,10,4,21,4,24,29,22,0,2020-04-05,20,10,36,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-03-30 15:56:36,2020-03-30 15:56:36,3,830,4,0,DOH000000000000271,21,16,2,37,6,19,14,16,0,2020-03-30,16,8,41,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-10 15:26:30,2020-04-10 15:26:30,3,8469,4,0,DOH000000000000271,33,29,2,25,5,33,33,12,0,2020-04-10,12,9,61,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
2020-04-07 10:25:27,2020-04-07 10:25:27,1,5255,0,0,DOH000000000000272,15,0,0,1,2,12,32,0,0,2020-04-07,0,0,4,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-04 9:48:12,2020-04-04 9:48:12,1,3137,0,0,DOH000000000000272,14,0,0,3,2,13,16,0,0,2020-04-04,0,0,3,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-11 16:18:25,2020-04-11 16:18:25,3,9673,0,0,DOH000000000000272,15,0,0,1,2,20,0,0,0,2020-04-11,0,0,2,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-13 17:07:28,2020-04-13 17:07:28,3,12064,0,0,DOH000000000000272,15,0,0,1,2,22,0,0,0,2020-04-13,0,0,0,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-09 16:52:00,2020-04-09 16:52:00,3,7673,0,0,DOH000000000000272,16,0,0,0,2,22,0,0,0,2020-04-09,0,0,0,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-15 12:28:49,2020-04-15 12:28:49,2,14459,0,0,DOH000000000000272,14,0,0,2,1,22,0,0,0,2020-04-15,0,1,0,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-08 14:56:00,2020-04-08 14:56:00,1,6440,0,0,DOH000000000000272,16,0,0,0,2,19,34,0,0,2020-04-08,0,0,3,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-10 16:16:44,2020-04-10 16:16:44,3,8641,0,0,DOH000000000000272,16,0,0,0,2,20,0,0,0,2020-04-10,0,0,2,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-12 16:46:14,2020-04-12 16:46:14,3,10772,0,0,DOH000000000000272,15,0,0,1,2,21,0,0,0,2020-04-12,0,0,1,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-14 16:55:10,2020-04-14 16:55:10,3,13450,0,0,DOH000000000000272,13,0,0,3,1,21,0,0,0,2020-04-14,0,1,1,JAMES L. GORDON MEMORIAL HOSPITAL
2020-04-12 18:32:46,2020-04-12 18:32:46,3,10841,1,8,DOH000000000000273,20,9,0,0,2,38,46,4,0,2020-04-12,5,6,8,REGION I MEDICAL CENTER
2020-03-31 9:18:32,2020-03-31 9:18:32,1,1033,1,0,DOH000000000000273,19,13,2,1,1,33,21,0,0,2020-03-31,1,7,13,REGION I MEDICAL CENTER
2020-04-11 17:26:58,2020-04-11 17:26:58,3,9787,1,2,DOH000000000000273,20,9,0,0,0,39,44,4,0,2020-04-11,5,8,7,REGION I MEDICAL CENTER
2020-03-28 16:24:15,2020-03-28 16:24:15,3,325,0,0,DOH000000000000273,20,13,0,0,0,20,11,0,0,2020-03-28,3,8,26,REGION I MEDICAL CENTER
2020-04-07 16:15:46,2020-04-07 16:15:46,3,5677,1,11,DOH000000000000273,20,8,0,0,2,34,43,5,0,2020-04-07,5,6,12,REGION I MEDICAL CENTER
2020-04-03 17:14:00,2020-04-03 17:14:00,3,2898,1,1,DOH000000000000273,19,9,0,1,1,37,42,4,0,2020-04-03,4,7,9,REGION I MEDICAL CENTER
2020-03-27 17:19:44,2020-03-27 16:55:28,3,156,0,0,DOH000000000000273,20,13,0,0,0,17,11,0,0,2020-03-27,1,8,29,REGION I MEDICAL CENTER
2020-03-29 16:23:16,2020-03-29 16:20:22,3,538,2,0,DOH000000000000273,18,13,1,2,0,23,14,0,0,2020-03-29,1,8,23,REGION I MEDICAL CENTER
2020-04-10 17:21:37,2020-04-10 17:21:37,3,8722,1,6,DOH000000000000273,20,8,0,0,2,41,48,5,0,2020-04-10,5,6,5,REGION I MEDICAL CENTER
2020-04-13 15:51:52,2020-04-13 15:51:52,3,11842,1,6,DOH000000000000273,20,9,0,0,4,34,46,4,0,2020-04-13,5,4,10,REGION I MEDICAL CENTER
2020-04-15 8:51:17,2020-04-15 8:51:17,1,14030,1,5,DOH000000000000273,20,11,3,0,2,34,46,2,0,2020-04-15,2,6,12,REGION I MEDICAL CENTER
2020-04-08 17:45:29,2020-04-08 17:45:29,3,6709,1,13,DOH000000000000273,19,8,0,1,2,37,43,5,0,2020-04-08,5,6,9,REGION I MEDICAL CENTER
2020-04-01 12:37:08,2020-04-01 10:48:37,1,1535,1,0,DOH000000000000273,19,11,0,1,2,35,32,2,0,2020-04-01,4,6,11,REGION I MEDICAL CENTER
2020-04-05 16:43:53,2020-04-05 16:43:53,3,4055,1,3,DOH000000000000273,19,8,0,1,1,34,41,5,0,2020-04-05,5,7,12,REGION I MEDICAL CENTER
2020-04-06 15:02:00,2020-04-06 15:02:00,3,4679,1,5,DOH000000000000273,20,8,0,0,2,37,41,5,0,2020-04-06,5,6,9,REGION I MEDICAL CENTER
2020-04-04 15:24:55,2020-04-04 15:24:55,3,3344,1,2,DOH000000000000273,20,9,0,0,0,36,37,4,0,2020-04-04,5,8,10,REGION I MEDICAL CENTER
2020-03-30 16:38:21,2020-03-30 16:38:21,3,860,1,0,DOH000000000000273,19,13,2,1,1,27,17,0,0,2020-03-30,1,7,19,REGION I MEDICAL CENTER
2020-04-09 18:04:08,2020-04-09 18:04:08,3,7721,1,10,DOH000000000000273,20,8,0,0,4,39,49,5,0,2020-04-09,5,4,7,REGION I MEDICAL CENTER
2020-04-02 9:46:02,2020-04-02 9:46:02,1,2001,1,3,DOH000000000000273,19,9,0,1,2,34,32,4,0,2020-04-02,4,6,12,REGION I MEDICAL CENTER
2020-04-14 15:54:13,2020-04-14 15:54:13,3,13226,0,3,DOH000000000000273,19,11,4,1,1,37,46,2,0,2020-04-14,2,7,9,REGION I MEDICAL CENTER
2020-04-06 9:54:25,2020-04-06 9:54:25,1,4384,1,0,DOH000000000000274,9,0,3,0,5,12,11,0,0,2020-04-06,9,5,10,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-04 8:19:43,2020-04-04 8:19:43,1,3048,0,0,DOH000000000000274,9,0,4,0,0,11,11,0,0,2020-04-04,9,5,11,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-05 9:49:21,2020-04-05 9:49:21,1,3719,1,0,DOH000000000000274,9,0,3,0,0,11,10,0,0,2020-04-05,9,5,11,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-11 7:12:22,2020-04-11 7:12:22,1,8821,2,0,DOH000000000000274,8,0,2,1,5,13,10,0,0,2020-04-11,7,5,9,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-03 9:54:38,2020-04-03 9:54:38,1,2535,4,0,DOH000000000000274,8,0,4,1,5,15,15,0,0,2020-04-03,9,5,7,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-15 12:32:42,2020-04-15 12:32:42,1,14467,2,0,DOH000000000000274,11,0,2,4,0,22,24,0,0,2020-04-15,5,5,0,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-12 8:17:20,2020-04-12 8:17:20,1,10064,2,0,DOH000000000000274,14,0,2,1,5,16,13,0,0,2020-04-12,7,5,6,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-13 6:37:46,2020-04-13 6:37:46,1,10896,2,0,DOH000000000000274,14,0,2,1,5,16,16,0,0,2020-04-13,7,5,6,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-14 7:56:53,2020-04-14 7:56:53,1,12313,4,0,DOH000000000000274,3,0,0,12,5,17,17,0,0,2020-04-14,5,5,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-13 7:36:59,2020-04-13 7:36:59,1,10975,3,6,DOH000000000000275,36,37,9,5,6,29,79,36,0,2020-04-13,13,18,22,SOUTHERN PHILIPPINES MEDICAL CENTER
2020-04-09 7:52:46,2020-04-09 7:52:46,1,6843,3,5,DOH000000000000275,34,16,9,7,10,23,62,23,0,2020-04-09,17,14,2,SOUTHERN PHILIPPINES MEDICAL CENTER
2020-04-14 7:36:11,2020-04-14 7:36:11,1,12249,2,6,DOH000000000000275,35,0,10,6,2,35,90,37,0,2020-04-14,14,22,6,SOUTHERN PHILIPPINES MEDICAL CENTER
2020-04-11 9:29:58,2020-04-11 9:29:58,2,9128,5,5,DOH000000000000275,37,7,7,4,10,19,59,32,0,2020-04-11,13,14,6,SOUTHERN PHILIPPINES MEDICAL CENTER
2020-04-08 16:10:52,2020-04-08 16:10:52,3,6592,2,8,DOH000000000000275,33,19,10,8,12,21,48,20,0,2020-04-08,15,12,4,SOUTHERN PHILIPPINES MEDICAL CENTER
2020-04-12 7:30:53,2020-04-12 7:30:53,1,9932,2,13,DOH000000000000275,37,3,10,4,9,19,74,34,0,2020-04-12,13,15,6,SOUTHERN PHILIPPINES MEDICAL CENTER
2020-04-13 8:20:42,2020-04-13 8:20:42,1,11121,1,0,DOH000000000000276,1,1,4,4,0,14,11,7,0,2020-04-13,7,0,1,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-02 11:19:34,2020-04-02 11:19:34,1,2043,2,0,DOH000000000000276,2,1,3,3,0,11,7,7,0,2020-04-02,8,0,4,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-07 15:26:50,2020-04-07 15:26:50,3,5556,2,0,DOH000000000000276,2,1,3,5,0,13,7,7,0,2020-04-07,7,0,2,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-03-29 10:50:35,2020-03-29 10:50:35,1,447,1,4,DOH000000000000276,0,0,5,5,0,13,7,8,0,2020-03-29,8,0,2,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-03-30 11:06:16,2020-03-30 11:06:16,1,722,0,0,DOH000000000000276,0,0,5,5,0,14,12,8,0,2020-03-30,8,0,1,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-15 12:38:51,2020-04-15 12:36:43,2,14475,0,1,DOH000000000000276,0,0,5,5,0,17,13,11,0,2020-04-15,11,0,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-03-31 10:35:41,2020-03-31 10:35:41,1,1067,0,8,DOH000000000000276,0,1,5,5,0,14,13,7,0,2020-03-31,7,0,1,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-09 16:06:23,2020-04-09 16:06:23,3,7576,2,0,DOH000000000000276,2,0,3,3,0,11,7,8,0,2020-04-09,5,0,4,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-03 12:05:10,2020-04-03 12:05:10,1,2623,2,0,DOH000000000000276,2,1,3,3,0,14,10,7,0,2020-04-03,8,0,1,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-10 10:13:43,2020-04-10 10:13:43,1,8081,3,1,DOH000000000000276,0,1,2,5,0,12,8,7,0,2020-04-10,8,0,1,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-03-28 15:03:26,2020-03-28 14:47:31,1,295,1,0,DOH000000000000276,1,3,4,4,0,12,12,5,0,2020-03-28,4,0,3,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-06 10:24:37,2020-04-06 10:24:37,1,4410,2,0,DOH000000000000276,5,1,3,5,0,13,9,7,0,2020-04-06,8,0,2,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-14 16:14:47,2020-04-14 16:14:47,3,13349,0,0,DOH000000000000276,0,0,5,5,0,11,13,12,0,2020-04-14,11,0,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
2020-04-08 6:39:58,2020-04-08 6:37:17,1,5808,0,0,DOH000000000000278,2,11,0,0,0,25,12,1,0,2020-04-08,1,0,38,BICOL MEDICAL CENTER
2020-04-04 9:56:25,2020-04-04 9:56:25,1,3140,0,0,DOH000000000000427,2,0,0,1,0,34,34,10,0,2020-04-04,10,3,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-06 11:15:36,2020-04-06 11:15:36,1,4446,0,0,DOH000000000000427,3,0,0,1,0,26,26,11,0,2020-04-06,11,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-15 15:04:12,2020-04-15 15:04:12,2,14650,0,2,DOH000000000000427,2,0,0,2,0,46,35,18,0,2020-04-15,18,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-12 8:49:13,2020-04-12 8:49:13,1,10132,0,3,DOH000000000000427,2,0,0,1,0,53,35,18,0,2020-04-12,18,8,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-03 9:30:05,2020-04-03 9:30:05,1,2513,0,0,DOH000000000000427,2,0,0,1,0,21,37,7,0,2020-04-03,7,5,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-01 9:34:56,2020-04-01 9:34:56,1,1497,0,0,DOH000000000000427,2,0,0,1,0,35,35,7,0,2020-04-01,7,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-05 10:57:23,2020-04-05 10:57:23,1,3752,0,0,DOH000000000000427,2,0,0,1,0,41,41,15,0,2020-04-05,15,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-03-29 10:16:18,2020-03-29 10:16:18,1,439,0,1,DOH000000000000427,1,0,0,2,0,32,33,7,0,2020-03-29,7,8,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-07 9:35:14,2020-04-07 9:35:14,1,5201,0,0,DOH000000000000427,3,0,0,0,7,40,29,11,0,2020-04-07,11,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-03-31 3:11:03,2020-03-31 3:11:03,2,1194,0,2,DOH000000000000427,1,0,0,2,0,33,33,7,0,2020-03-31,7,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-13 16:06:40,2020-04-13 16:06:40,3,11916,0,1,DOH000000000000427,2,0,0,2,0,39,39,18,0,2020-04-13,18,8,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-09 9:17:01,2020-04-09 9:17:01,1,7051,0,4,DOH000000000000427,3,0,0,1,1,40,32,8,0,2020-04-09,8,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-14 17:24:50,2020-04-14 17:24:50,3,13498,0,1,DOH000000000000427,2,0,0,2,0,49,38,18,0,2020-04-14,18,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-11 8:05:38,2020-04-11 8:05:38,1,8943,0,4,DOH000000000000427,3,0,0,1,1,44,34,10,0,2020-04-11,10,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-10 8:20:56,2020-04-10 8:20:56,1,7872,0,3,DOH000000000000427,3,0,0,1,1,39,31,9,0,2020-04-10,9,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-03-28 11:49:53,2020-03-28 11:49:53,2,261,0,1,DOH000000000000427,2,0,0,1,0,11,33,6,0,2020-03-28,6,7,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
2020-04-14 17:26:34,2020-04-14 17:26:34,3,13503,0,0,DOH000000000000502,4,62,0,1,96,41,0,42,0,2020-04-14,41,1,62,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
2020-04-05 17:41:27,2020-04-05 17:41:27,3,4101,0,0,DOH000000000000502,4,103,0,1,96,29,5,29,0,2020-04-05,24,1,74,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
