updateddate,addeddate,reportdate,icu_np_o,beds_ward_v,isolbed_o,icu_wnp_v,hfhudcode,beds_ward_o,id,reporttime,icu_np_v,mechvent_o,mechvent_v,isolbed_v,icu_wnp_o,cfname
4/10/2020 17:15,4/10/2020 17:15,4/10/2020,0,0,16,2,DOH000000000000268,0,8720,3,0,0,2,24,0,DAVAO REGIONAL MEDICAL CENTER
4/2/2020 4:21,4/2/2020 4:21,4/2/2020,0,4,29,2,DOH000000000000269,1,2257,3,0,2,4,1,4,TARLAC PROVINCIAL HOSPITAL
4/11/2020 17:32,4/11/2020 17:32,4/11/2020,0,4,24,5,DOH000000000000269,1,9792,3,0,2,8,11,3,TARLAC PROVINCIAL HOSPITAL
4/8/2020 6:35,4/8/2020 6:35,4/8/2020,0,5,27,8,DOH000000000000269,1,5807,1,0,2,8,30,4,TARLAC PROVINCIAL HOSPITAL
4/7/2020 21:05,4/7/2020 21:05,4/7/2020,0,4,28,8,DOH000000000000269,1,5785,3,0,2,8,2,4,TARLAC PROVINCIAL HOSPITAL
4/13/2020 16:15,4/13/2020 16:15,4/13/2020,0,4,29,4,DOH000000000000269,1,11951,3,0,4,6,1,4,TARLAC PROVINCIAL HOSPITAL
4/1/2020 3:29,4/1/2020 3:29,4/1/2020,0,5,24,2,DOH000000000000269,2,1691,3,0,2,4,6,6,TARLAC PROVINCIAL HOSPITAL
3/31/2020 1:25,3/31/2020 1:25,3/31/2020,0,5,18,8,DOH000000000000269,0,1169,1,0,0,6,17,3,TARLAC PROVINCIAL HOSPITAL
4/3/2020 11:49,4/3/2020 11:49,4/3/2020,5,2,32,0,DOH000000000000269,3,2601,2,0,2,4,3,0,TARLAC PROVINCIAL HOSPITAL
4/12/2020 17:56,4/12/2020 17:56,4/12/2020,0,4,30,4,DOH000000000000269,1,10820,3,0,4,6,0,4,TARLAC PROVINCIAL HOSPITAL
4/14/2020 12:40,4/14/2020 12:40,4/14/2020,0,4,26,5,DOH000000000000269,1,12960,2,0,4,6,7,3,TARLAC PROVINCIAL HOSPITAL
3/30/2020 15:32,3/30/2020 15:32,3/30/2020,0,5,19,6,DOH000000000000269,0,810,3,0,0,6,1,2,TARLAC PROVINCIAL HOSPITAL
4/6/2020 17:32,4/6/2020 17:32,4/6/2020,0,5,34,8,DOH000000000000269,1,4894,3,0,8,2,4,4,TARLAC PROVINCIAL HOSPITAL
4/6/2020 17:11,4/6/2020 17:11,4/6/2020,0,1,11,5,DOH000000000000270,4,4881,3,0,0,1,13,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/3/2020 19:10,4/3/2020 19:10,4/3/2020,0,2,11,5,DOH000000000000270,3,2927,3,0,0,1,13,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/5/2020 18:26,4/5/2020 18:26,4/5/2020,0,1,11,1,DOH000000000000270,4,4112,3,0,0,1,12,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/12/2020 8:31,4/12/2020 8:31,4/12/2020,0,1,14,4,DOH000000000000270,4,10096,1,0,0,1,7,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/14/2020 11:56,4/14/2020 11:56,4/14/2020,0,0,15,3,DOH000000000000270,5,12832,2,0,0,1,6,1,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/11/2020 18:14,4/11/2020 18:14,4/11/2020,0,1,17,4,DOH000000000000270,4,9816,3,0,0,1,4,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/8/2020 16:20,4/8/2020 16:20,4/8/2020,0,1,11,4,DOH000000000000270,4,6623,3,0,0,1,10,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/2/2020 8:04,4/2/2020 8:04,4/2/2020,0,8,12,0,DOH000000000000270,0,1883,1,0,0,1,1,0,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
4/13/2020 8:18,4/13/2020 8:18,4/13/2020,0,0,14,3,DOH000000000000270,5,11115,1,0,0,1,7,1,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL
3/29/2020 19:59,3/29/2020 18:31,3/29/2020,2,24,18,5,DOH000000000000271,8,557,3,4,37,21,42,9,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/13/2020 14:58,4/13/2020 14:58,4/13/2020,2,28,37,11,DOH000000000000271,13,11741,3,4,20,38,57,3,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
3/31/2020 9:04,3/31/2020 11:52,3/31/2020,2,15,19,7,DOH000000000000271,17,1115,2,4,37,21,41,7,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/6/2020 16:05,4/6/2020 16:05,4/6/2020,5,18,22,5,DOH000000000000271,14,4769,3,1,18,40,38,9,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/11/2020 16:02,4/11/2020 16:02,4/11/2020,1,32,33,7,DOH000000000000271,9,9613,3,5,21,37,61,7,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/8/2020 16:09,4/8/2020 16:09,4/8/2020,5,35,15,3,DOH000000000000271,6,6585,3,1,26,32,79,11,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/14/2020 14:51,4/14/2020 14:51,4/14/2020,3,28,42,11,DOH000000000000271,13,13119,3,3,17,41,52,3,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/5/2020 17:11,4/5/2020 17:11,4/5/2020,4,10,24,4,DOH000000000000271,22,4081,3,2,21,37,36,10,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/10/2020 15:26,4/10/2020 15:26,4/10/2020,2,29,33,5,DOH000000000000271,12,8469,3,4,25,33,61,9,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/12/2020 15:01,4/12/2020 15:01,4/12/2020,1,30,45,8,DOH000000000000271,11,10560,3,5,20,38,49,6,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/3/2020 11:44,4/3/2020 11:44,4/3/2020,1,14,22,2,DOH000000000000271,18,2592,2,5,28,30,38,12,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/9/2020 16:13,4/9/2020 16:13,4/9/2020,2,32,33,8,DOH000000000000271,9,7611,3,4,26,32,61,6,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
3/30/2020 15:56,3/30/2020 15:56,3/30/2020,2,16,19,6,DOH000000000000271,16,830,3,4,37,21,41,8,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/2/2020 12:05,4/2/2020 12:05,4/2/2020,3,11,21,2,DOH000000000000271,21,2090,2,3,34,24,39,12,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/7/2020 15:17,4/7/2020 15:17,4/7/2020,5,32,16,3,DOH000000000000271,9,5546,3,1,24,34,78,11,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/4/2020 16:14,4/4/2020 16:14,4/4/2020,4,13,22,5,DOH000000000000271,19,3414,3,2,28,30,38,9,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/1/2020 11:57,4/1/2020 11:57,4/1/2020,3,13,22,2,DOH000000000000271,19,1576,2,3,35,23,38,12,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL
4/8/2020 14:56,4/8/2020 14:56,4/8/2020,0,0,19,2,DOH000000000000272,0,6440,1,0,0,16,3,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/14/2020 12:12,4/14/2020 12:12,4/14/2020,0,0,21,1,DOH000000000000272,0,12902,2,0,1,15,1,1,JAMES L. GORDON MEMORIAL HOSPITAL
4/10/2020 16:16,4/10/2020 16:16,4/10/2020,0,0,20,2,DOH000000000000272,0,8641,3,0,0,16,2,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/11/2020 16:18,4/11/2020 16:18,4/11/2020,0,0,20,2,DOH000000000000272,0,9673,3,0,1,15,2,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/4/2020 9:48,4/4/2020 9:48,4/4/2020,0,0,13,2,DOH000000000000272,0,3137,1,0,3,14,3,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/12/2020 16:46,4/12/2020 16:46,4/12/2020,0,0,21,2,DOH000000000000272,0,10772,3,0,1,15,1,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/13/2020 17:07,4/13/2020 17:07,4/13/2020,0,0,22,2,DOH000000000000272,0,12064,3,0,1,15,0,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/7/2020 10:25,4/7/2020 10:25,4/7/2020,0,0,12,2,DOH000000000000272,0,5255,1,0,1,15,4,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/9/2020 16:52,4/9/2020 16:52,4/9/2020,0,0,22,2,DOH000000000000272,0,7673,3,0,0,16,0,0,JAMES L. GORDON MEMORIAL HOSPITAL
4/6/2020 15:02,4/6/2020 15:02,4/6/2020,0,8,37,2,DOH000000000000273,5,4679,3,1,0,20,9,6,REGION I MEDICAL CENTER
4/1/2020 12:37,4/1/2020 10:48,4/1/2020,0,11,35,2,DOH000000000000273,2,1535,1,1,1,19,11,6,REGION I MEDICAL CENTER
3/27/2020 17:19,3/27/2020 16:55,3/27/2020,0,13,17,0,DOH000000000000273,0,156,3,0,0,20,29,8,REGION I MEDICAL CENTER
4/8/2020 17:45,4/8/2020 17:45,4/8/2020,0,8,37,2,DOH000000000000273,5,6709,3,1,1,19,9,6,REGION I MEDICAL CENTER
4/2/2020 9:46,4/2/2020 9:46,4/2/2020,0,9,34,2,DOH000000000000273,4,2001,1,1,1,19,12,6,REGION I MEDICAL CENTER
4/9/2020 18:04,4/9/2020 18:04,4/9/2020,0,8,39,4,DOH000000000000273,5,7721,3,1,0,20,7,4,REGION I MEDICAL CENTER
4/11/2020 17:26,4/11/2020 17:26,4/11/2020,0,9,39,0,DOH000000000000273,4,9787,3,1,0,20,7,8,REGION I MEDICAL CENTER
4/4/2020 15:24,4/4/2020 15:24,4/4/2020,0,9,36,0,DOH000000000000273,4,3344,3,1,0,20,10,8,REGION I MEDICAL CENTER
4/12/2020 18:32,4/12/2020 18:32,4/12/2020,0,9,38,2,DOH000000000000273,4,10841,3,1,0,20,8,6,REGION I MEDICAL CENTER
3/31/2020 9:18,3/31/2020 9:18,3/31/2020,2,13,33,1,DOH000000000000273,0,1033,1,1,1,19,13,7,REGION I MEDICAL CENTER
3/28/2020 16:24,3/28/2020 16:24,3/28/2020,0,13,20,0,DOH000000000000273,0,325,3,0,0,20,26,8,REGION I MEDICAL CENTER
4/14/2020 13:37,4/14/2020 13:37,4/14/2020,3,11,39,1,DOH000000000000273,2,13052,2,1,0,20,7,7,REGION I MEDICAL CENTER
3/30/2020 16:38,3/30/2020 16:38,3/30/2020,2,13,27,1,DOH000000000000273,0,860,3,1,1,19,19,7,REGION I MEDICAL CENTER
4/10/2020 17:21,4/10/2020 17:21,4/10/2020,0,8,41,2,DOH000000000000273,5,8722,3,1,0,20,5,6,REGION I MEDICAL CENTER
4/5/2020 16:43,4/5/2020 16:43,4/5/2020,0,8,34,1,DOH000000000000273,5,4055,3,1,1,19,12,7,REGION I MEDICAL CENTER
4/7/2020 16:15,4/7/2020 16:15,4/7/2020,0,8,34,2,DOH000000000000273,5,5677,3,1,0,20,12,6,REGION I MEDICAL CENTER
4/13/2020 15:51,4/13/2020 15:51,4/13/2020,0,9,34,4,DOH000000000000273,4,11842,3,1,0,20,10,4,REGION I MEDICAL CENTER
3/29/2020 16:23,3/29/2020 16:20,3/29/2020,1,13,23,0,DOH000000000000273,0,538,3,2,2,18,23,8,REGION I MEDICAL CENTER
4/3/2020 17:14,4/3/2020 17:14,4/3/2020,0,9,37,1,DOH000000000000273,4,2898,3,1,1,19,9,7,REGION I MEDICAL CENTER
4/6/2020 9:54,4/6/2020 9:54,4/6/2020,3,0,12,5,DOH000000000000274,0,4384,1,1,0,9,10,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/13/2020 6:37,4/13/2020 6:37,4/13/2020,2,0,16,5,DOH000000000000274,0,10896,1,2,1,14,6,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/12/2020 8:17,4/12/2020 8:17,4/12/2020,2,0,16,5,DOH000000000000274,0,10064,1,2,1,14,6,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/4/2020 8:19,4/4/2020 8:19,4/4/2020,4,0,11,0,DOH000000000000274,0,3048,1,0,0,9,11,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/11/2020 7:12,4/11/2020 7:12,4/11/2020,2,0,13,5,DOH000000000000274,0,8821,1,2,1,8,9,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/14/2020 7:56,4/14/2020 7:56,4/14/2020,0,0,17,5,DOH000000000000274,0,12313,1,4,12,3,5,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/3/2020 9:54,4/3/2020 9:54,4/3/2020,4,0,15,5,DOH000000000000274,0,2535,1,4,1,8,7,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/5/2020 9:49,4/5/2020 9:49,4/5/2020,3,0,11,0,DOH000000000000274,0,3719,1,1,0,9,11,5,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
4/11/2020 9:29,4/11/2020 9:29,4/11/2020,7,7,19,10,DOH000000000000275,32,9128,2,5,4,37,6,14,SOUTHERN PHILIPPINES MEDICAL CENTER
4/13/2020 7:36,4/13/2020 7:36,4/13/2020,9,37,29,6,DOH000000000000275,36,10975,1,3,5,36,22,18,SOUTHERN PHILIPPINES MEDICAL CENTER
4/14/2020 7:36,4/14/2020 7:36,4/14/2020,10,0,35,2,DOH000000000000275,37,12249,1,2,6,35,6,22,SOUTHERN PHILIPPINES MEDICAL CENTER
4/8/2020 16:10,4/8/2020 16:10,4/8/2020,10,19,21,12,DOH000000000000275,20,6592,3,2,8,33,4,12,SOUTHERN PHILIPPINES MEDICAL CENTER
4/12/2020 7:30,4/12/2020 7:30,4/12/2020,10,3,19,9,DOH000000000000275,34,9932,1,2,4,37,6,15,SOUTHERN PHILIPPINES MEDICAL CENTER
4/9/2020 7:52,4/9/2020 7:52,4/9/2020,9,16,23,10,DOH000000000000275,23,6843,1,3,7,34,2,14,SOUTHERN PHILIPPINES MEDICAL CENTER
4/7/2020 15:26,4/7/2020 15:26,4/7/2020,3,1,13,0,DOH000000000000276,7,5556,3,2,5,2,2,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/13/2020 8:20,4/13/2020 8:20,4/13/2020,4,1,14,0,DOH000000000000276,7,11121,1,1,4,1,1,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/2/2020 11:19,4/2/2020 11:19,4/2/2020,3,1,11,0,DOH000000000000276,7,2043,1,2,3,2,4,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
3/30/2020 11:06,3/30/2020 11:06,3/30/2020,5,0,14,0,DOH000000000000276,8,722,1,0,5,0,1,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
3/28/2020 15:03,3/28/2020 14:47,3/28/2020,4,3,12,0,DOH000000000000276,5,295,1,1,4,1,3,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/3/2020 12:05,4/3/2020 12:05,4/3/2020,3,1,14,0,DOH000000000000276,7,2623,1,2,3,2,1,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/10/2020 10:13,4/10/2020 10:13,4/10/2020,2,1,12,0,DOH000000000000276,7,8081,1,3,5,0,1,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/6/2020 10:24,4/6/2020 10:24,4/6/2020,3,1,13,0,DOH000000000000276,7,4410,1,2,5,5,2,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
3/29/2020 10:50,3/29/2020 10:50,3/29/2020,5,0,13,0,DOH000000000000276,8,447,1,1,5,0,2,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/9/2020 16:06,4/9/2020 16:06,4/9/2020,3,0,11,0,DOH000000000000276,8,7576,3,2,3,2,4,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
3/31/2020 10:35,3/31/2020 10:35,3/31/2020,5,1,14,0,DOH000000000000276,7,1067,1,0,5,0,1,0,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
4/8/2020 6:39,4/8/2020 6:37,4/8/2020,0,11,25,0,DOH000000000000278,1,5808,1,0,0,2,38,0,BICOL MEDICAL CENTER
4/1/2020 9:34,4/1/2020 9:34,4/1/2020,0,0,35,0,DOH000000000000427,7,1497,1,0,1,2,0,7,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
3/29/2020 10:16,3/29/2020 10:16,3/29/2020,0,0,32,0,DOH000000000000427,7,439,1,0,2,1,0,8,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/9/2020 9:17,4/9/2020 9:17,4/9/2020,0,0,40,1,DOH000000000000427,8,7051,1,0,1,3,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/14/2020 13:42,4/14/2020 13:42,4/14/2020,0,0,39,0,DOH000000000000427,18,13060,2,0,2,2,0,7,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/13/2020 16:06,4/13/2020 16:06,4/13/2020,0,0,39,0,DOH000000000000427,18,11916,3,0,2,2,0,8,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
3/28/2020 11:49,3/28/2020 11:49,3/28/2020,0,0,11,0,DOH000000000000427,6,261,2,0,1,2,0,7,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/4/2020 9:56,4/4/2020 9:56,4/4/2020,0,0,34,0,DOH000000000000427,10,3140,1,0,1,2,0,3,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
3/31/2020 3:11,3/31/2020 3:11,3/31/2020,0,0,33,0,DOH000000000000427,7,1194,2,0,2,1,0,7,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/6/2020 11:15,4/6/2020 11:15,4/6/2020,0,0,26,0,DOH000000000000427,11,4446,1,0,1,3,0,7,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/5/2020 10:57,4/5/2020 10:57,4/5/2020,0,0,41,0,DOH000000000000427,15,3752,1,0,1,2,0,7,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/11/2020 8:05,4/11/2020 8:05,4/11/2020,0,0,44,1,DOH000000000000427,10,8943,1,0,1,3,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/10/2020 8:20,4/10/2020 8:20,4/10/2020,0,0,39,1,DOH000000000000427,9,7872,1,0,1,3,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/12/2020 8:49,4/12/2020 8:49,4/12/2020,0,0,53,0,DOH000000000000427,18,10132,1,0,1,2,0,8,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/7/2020 9:35,4/7/2020 9:35,4/7/2020,0,0,40,7,DOH000000000000427,11,5201,1,0,0,3,0,0,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/3/2020 9:30,4/3/2020 9:30,4/3/2020,0,0,21,0,DOH000000000000427,7,2513,1,0,1,2,0,5,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER
4/12/2020 15:43,4/12/2020 15:43,4/12/2020,0,62,41,96,DOH000000000000502,41,10599,3,0,1,4,62,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/7/2020 16:42,4/7/2020 16:42,4/7/2020,0,69,34,96,DOH000000000000502,34,5717,3,0,1,4,69,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/14/2020 13:41,4/14/2020 13:41,4/14/2020,0,61,42,96,DOH000000000000502,42,13057,2,0,1,4,61,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/13/2020 16:58,4/13/2020 16:58,4/13/2020,0,63,40,96,DOH000000000000502,40,12047,3,0,1,4,63,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/5/2020 17:41,4/5/2020 17:41,4/5/2020,0,103,29,96,DOH000000000000502,29,4101,3,0,1,4,74,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/11/2020 17:07,4/11/2020 17:07,4/11/2020,0,64,40,96,DOH000000000000502,40,9767,3,0,1,4,64,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/9/2020 18:17,4/9/2020 18:17,4/9/2020,0,65,39,96,DOH000000000000502,39,7729,3,0,4,4,65,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/8/2020 17:49,4/8/2020 17:49,4/8/2020,0,69,34,96,DOH000000000000502,34,6712,3,0,1,4,69,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/6/2020 18:02,4/6/2020 18:02,4/6/2020,0,103,31,95,DOH000000000000502,31,4910,3,0,2,3,72,2,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/10/2020 13:45,4/10/2020 13:45,4/10/2020,0,61,42,96,DOH000000000000502,42,8407,2,0,1,4,61,1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
4/14/2020 11:13,4/14/2020 11:13,4/14/2020,0,0,50,0,DOH000000000000540,18,12716,1,0,6,14,16,0,EAST AVENUE MEDICAL CENTER
4/6/2020 11:04,4/6/2020 11:04,4/6/2020,1,0,39,0,DOH000000000000540,10,4440,1,0,11,10,5,13,EAST AVENUE MEDICAL CENTER
4/13/2020 7:29,4/13/2020 7:29,4/13/2020,0,0,54,2,DOH000000000000540,16,10963,1,0,6,14,11,6,EAST AVENUE MEDICAL CENTER
4/7/2020 11:24,4/7/2020 11:24,4/7/2020,0,0,41,0,DOH000000000000540,13,5290,1,1,7,9,1,13,EAST AVENUE MEDICAL CENTER
4/11/2020 6:16,4/11/2020 6:16,4/11/2020,1,0,40,2,DOH000000000000540,11,8797,1,0,6,4,2,11,EAST AVENUE MEDICAL CENTER
4/3/2020 17:10,4/3/2020 17:10,4/3/2020,0,0,24,0,DOH000000000000586,0,2894,3,0,1,1,0,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/12/2020 12:09,4/12/2020 12:09,4/12/2020,0,0,26,0,DOH000000000000586,0,10404,2,0,1,1,0,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/9/2020 15:59,4/9/2020 15:59,4/9/2020,0,0,19,0,DOH000000000000586,0,7533,3,0,0,2,3,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/7/2020 16:11,4/7/2020 16:11,4/7/2020,0,0,17,0,DOH000000000000586,0,5660,3,0,0,2,3,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/6/2020 16:41,4/6/2020 16:41,4/6/2020,0,0,20,0,DOH000000000000586,0,4853,3,0,0,2,0,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/14/2020 7:22,4/14/2020 7:22,4/14/2020,0,0,21,0,DOH000000000000586,0,12213,1,0,0,2,4,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/4/2020 16:26,4/4/2020 16:26,4/4/2020,0,0,20,0,DOH000000000000586,0,3435,3,0,2,0,5,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/13/2020 7:42,4/13/2020 7:42,4/13/2020,0,0,26,0,DOH000000000000586,0,10985,1,0,0,2,0,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/10/2020 16:01,4/10/2020 16:01,4/10/2020,0,0,23,0,DOH000000000000586,0,8569,3,0,0,2,0,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/11/2020 16:08,4/11/2020 16:08,4/11/2020,0,0,21,0,DOH000000000000586,0,9639,3,0,1,1,1,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/8/2020 16:37,4/8/2020 16:37,4/8/2020,0,0,19,0,DOH000000000000586,0,6662,3,0,0,2,3,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/5/2020 16:00,4/5/2020 16:00,4/5/2020,0,0,20,0,DOH000000000000586,0,3979,3,0,2,0,0,0,JOSE R. REYES MEMORIAL MEDICAL CENTER
4/6/2020 16:30,4/6/2020 16:30,4/6/2020,0,0,11,0,DOH000000000000615,6,4836,3,0,0,1,3,0,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER
