updateddate,addeddate,hfhudcode,medtech,icu_nurse,resident,gown,id_specialist,er_nurse,ward_nurse,id,reportdate,gloves,surgmask,mechvent_tech,pulmo,respthe,shoe_cover,face_shield,n95mask,goggles,ic_specialist,head_cover,cfname
2020-04-10 14:58:59,2020-04-10 14:58:59,DOH000000000004534,0,0,0,295,0,0,0,390,2020-04-10,3418,802,0,0,0,640,0,696,0,0,7200,DAVAO DOCTORS HOSPITAL
2020-04-03 3:24:28,2020-04-03 3:24:28,DOH000000000004534,0,0,0,710,0,0,0,139,2020-04-03,3992,963,0,0,0,0,0,86,630,0,600,DAVAO DOCTORS HOSPITAL
2020-04-10 16:00:13,2020-04-10 16:00:13,DOH000000000006900,0,0,0,0,0,0,0,458,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,R AND L MEDICAL CLINIC
2020-04-03 12:13:25,2020-04-03 12:13:25,DOH000000000004522,0,0,1,0,0,0,1,99,2020-04-03,1,1,0,0,0,0,0,0,0,0,0,SEÑOR TESORO HOSPITAL
2020-04-04 8:44:06,2020-04-04 8:44:06,DOH000000000038151,0,0,0,30,0,0,0,227,2020-04-04,30,2,0,0,0,25,10,1,0,0,10,DARAGA DOCTORS HOSPITAL
2020-04-06 9:03:40,2020-04-06 9:03:40,DOH000000000038151,0,0,0,10,0,0,0,252,2020-04-06,270,15,0,0,0,0,15,1,0,0,700,DARAGA DOCTORS HOSPITAL
2020-04-10 8:12:23,2020-04-10 8:12:23,DOH000000000038151,0,0,0,3,0,0,0,287,2020-04-10,100,10,0,0,0,0,10,25,0,0,600,DARAGA DOCTORS HOSPITAL
2020-04-10 15:56:01,2020-04-10 15:56:01,DOH000000000027113,0,0,0,2,0,0,0,447,2020-04-10,2,0,0,0,0,0,15,0,2,0,100,HIBO-FRANCISCO HOSPITAL
2020-04-10 16:22:48,2020-04-10 16:22:48,DOH000000000037946,0,0,0,0,0,0,0,493,2020-04-10,1,1,0,0,0,0,3,0,0,0,0,LB CRUEL MEDICAL CLINIC
2020-04-10 15:45:19,2020-04-10 15:28:17,DOH000000000000672,0,0,0,32,0,0,0,410,2020-04-10,80,27,0,0,0,0,0,10,5,0,827,MINDANAO MEDICAL CENTER
2020-04-03 4:10:15,2020-04-03 4:10:15,DOH000000000000672,0,0,0,102,0,0,0,179,2020-04-03,105,52,0,0,0,10,28,7,23,0,2074,MINDANAO MEDICAL CENTER
2020-04-10 9:25:17,2020-04-10 9:25:17,DOH000000000001933,0,0,0,10,0,0,0,304,2020-04-10,3,3,0,0,0,20,8,10,5,0,30,MIRANDA FAMILY HOSPITAL
2020-04-10 9:52:11,2020-04-10 9:52:11,DOH000000000024002,0,0,0,0,0,0,0,309,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,TIGAON PRIMARY HOSPITAL
2020-04-10 14:44:31,2020-04-10 14:44:31,DOH000000000003928,0,0,0,0,0,0,0,380,2020-04-10,6,2,0,0,0,1,5,3,1,0,0,LIANGA DISTRICT HOSPITAL
2020-04-03 17:13:21,2020-04-03 17:13:21,DOH000000000003928,0,0,0,0,0,0,0,210,2020-04-03,5,3,0,0,0,0,0,3,1,0,0,LIANGA DISTRICT HOSPITAL
2020-04-12 9:45:54,2020-04-12 9:45:54,DOH000000000001880,1,0,3,55,0,0,4,614,2020-04-12,30,10,0,0,0,100,2,2,70,0,400,PALANAN STATION HOSPITAL
2020-04-03 3:19:13,2020-04-03 3:19:13,DOH000000000003553,2,0,0,25,0,0,4,135,2020-04-03,5,5,0,0,0,25,25,0,3,0,25,PALAWAN BAPTIST HOSPITAL
2020-04-10 16:22:00,2020-04-10 16:22:00,DOH000000000000477,0,0,0,0,0,0,0,491,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,DRAZEN COMMUNITY HOSPITAL
2020-04-10 8:06:27,2020-04-10 8:06:27,DOH000000000004052,0,0,0,0,0,0,0,284,2020-04-10,83,18,0,0,0,0,0,7,0,0,389,ITBAYAT DISTRICT HOSPITAL
2020-04-10 11:48:57,2020-04-10 11:48:57,DOH000000000006020,0,0,0,7,0,0,0,331,2020-04-10,2,0,0,0,0,0,12,10,0,0,0,JASAAN MUNICIPAL HOSPITAL
2020-04-10 15:46:26,2020-04-10 15:46:26,DOH000000000002154,0,0,0,6,0,0,0,426,2020-04-10,4,66,0,0,0,10,8,14,10,0,90,LORETO MUNICIPAL HOSPITAL
2020-04-10 16:48:34,2020-04-10 16:48:34,DOH000000000000384,0,0,0,10,0,0,0,520,2020-04-10,3,2,0,0,0,0,23,0,0,0,50,LYCEUM OF APARRI HOSPITAL
2020-04-03 4:02:07,2020-04-03 4:02:07,DOH000000000000384,0,0,0,10,0,0,0,176,2020-04-03,50,0,0,0,0,0,23,0,0,0,50,LYCEUM OF APARRI HOSPITAL
2020-04-10 16:19:21,2020-04-10 16:19:21,DOH000000000001955,0,0,0,6,0,0,0,488,2020-04-10,1,1,0,0,0,0,16,0,0,0,0,MAGTABOG GENERAL HOSPITAL
2020-04-11 8:30:21,2020-04-11 8:30:21,DOH000000000003561,0,0,0,300,0,0,0,580,2020-04-11,500,10,0,0,0,500,0,1,2,0,1000,MANUEL J. SANTOS HOSPITAL
2020-04-03 1:53:40,2020-04-03 1:53:40,DOH000000000003561,0,0,0,350,0,0,0,113,2020-04-03,62,2,0,0,0,240,90,10,2,0,1200,MANUEL J. SANTOS HOSPITAL
2020-04-10 16:53:10,2020-04-10 16:53:10,DOH000000000005962,0,0,0,3,0,0,0,527,2020-04-10,4,1,0,0,0,0,8,1,5,0,0,RETUERMA GENERAL HOSPITAL
2020-04-10 16:09:10,2020-04-10 16:09:10,DOH000000000004568,0,0,0,1,0,0,0,474,2020-04-10,2,2,0,0,0,1,0,0,1,0,20,SARANGANI MUNICIPAL HOSP.
2020-04-10 16:31:44,2020-04-10 16:31:44,DOH000000000002851,1,0,2,0,0,0,6,499,2020-04-10,350,2,0,0,0,0,0,1,5,0,50,SOCORRO DISTRICT HOSPITAL
2020-04-03 11:01:50,2020-04-03 11:01:50,DOH000000000002851,1,0,2,0,0,0,5,93,2020-04-03,300,0,0,0,0,0,0,0,15,0,100,SOCORRO DISTRICT HOSPITAL
2020-04-10 15:59:19,2020-04-10 15:59:19,DOH000000000002129,0,0,0,0,0,0,4,455,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,CLAVERIA DISTRICT HOSPITAL
2020-04-10 15:51:36,2020-04-10 15:51:36,DOH000000000037412,0,0,0,0,0,0,0,440,2020-04-10,8,11,0,0,0,0,4,0,12,0,175,HOSPITAL DE ZAMBOANGA INC.
2020-04-10 16:27:27,2020-04-10 16:27:27,DOH000000000002843,1,0,1,6,0,0,1,497,2020-04-10,5,2,0,0,0,5,15,8,0,0,25,JABONGA MUNICIPAL HOSPITAL
2020-04-10 16:39:06,2020-04-10 16:39:06,DOH000000000037752,0,0,0,6,0,0,0,509,2020-04-10,10,1,0,0,0,0,30,0,3,0,70,MANUPAC DOCTORS HEALTHCARE
2020-04-03 3:12:53,2020-04-03 3:12:53,DOH000000000005446,0,0,0,4,0,0,0,134,2020-04-03,6,1,0,0,0,1,5,6,4,0,6,PATHFINDER ESTATE HOSPITAL
2020-04-10 15:59:19,2020-04-10 15:59:19,DOH000000000005446,0,0,0,5,0,0,0,456,2020-04-10,6,0,0,0,0,3,10,6,4,0,5,PATHFINDER ESTATE HOSPITAL
2020-04-11 15:12:31,2020-04-11 15:12:31,DOH000000000000338,0,0,0,11,0,0,0,605,2020-04-11,10,0,0,0,0,1,50,0,7,0,3,VIACRUCIS MEDICAL HOSPITAL
2020-04-10 16:16:24,2020-04-10 16:16:24,DOH000000000003764,0,0,0,0,0,0,0,485,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,BONGCAS HOLY CHILD HOSPITAL
2020-04-10 16:35:06,2020-04-10 16:35:06,DOH000000000001663,0,0,0,0,0,0,0,507,2020-04-10,2,1,0,0,0,0,20,0,30,0,0,CARAMOAN MUNICIPAL HOSPITAL
2020-04-12 15:59:09,2020-04-12 15:59:09,DOH000000000000587,0,0,0,279,0,0,0,622,2020-04-12,92,26,0,0,0,225,1137,58,293,0,400,J.R. BORJA GENERAL HOSPITAL
2020-04-10 16:22:54,2020-04-10 16:22:54,DOH000000000037754,0,0,1,0,0,0,1,494,2020-04-10,0,0,0,0,0,0,10,0,0,0,0,JABONGA COMMUNITY INFIRMARY
2020-04-10 12:07:03,2020-04-10 12:07:03,DOH000000000004957,0,0,0,8,0,0,0,337,2020-04-10,100,20,0,0,0,8,10,0,8,0,8,OLUTANGA MUNICIPAL HOSPITAL
2020-04-10 11:19:13,2020-04-10 11:19:13,DOH000000000000385,0,0,0,18,0,0,0,327,2020-04-10,56,17,0,0,0,10,57,1,27,0,500,OUR LADY MEDIATRIX HOSPITAL
2020-04-10 15:43:35,2020-04-10 15:43:35,DOH000000000002495,0,0,0,46,0,0,0,423,2020-04-10,20,0,0,0,0,70,30,4,15,0,350,SAN CARLOS DOCTORS' HOSPITAL
2020-04-03 3:37:25,2020-04-03 3:37:25,DOH000000000002495,0,0,0,50,0,0,0,157,2020-04-03,50,0,0,0,0,70,93,4,17,0,150,SAN CARLOS DOCTORS' HOSPITAL
2020-04-10 15:49:52,2020-04-10 15:49:52,DOH000000000007513,0,0,0,30,0,0,0,434,2020-04-10,0,0,0,0,0,0,15,0,4,0,0,BAYUGAN CITY DOCTORS HOSPITAL
2020-04-03 4:00:38,2020-04-03 4:00:38,DOH000000000007513,0,0,0,40,0,0,0,174,2020-04-03,5,2,0,0,0,0,30,1,6,0,0,BAYUGAN CITY DOCTORS HOSPITAL
2020-04-10 14:37:17,2020-04-10 14:37:17,DOH000000000004969,0,0,0,217,0,0,0,376,2020-04-10,7,16,0,0,0,175,18,2,80,0,337,CAMP NAVARRO GENERAL HOSPITAL
2020-04-10 17:20:58,2020-04-10 17:20:58,DOH000000000000268,3,9,10,148,2,0,25,539,2020-04-10,11,350,0,3,2,440,103,300,246,1,100,DAVAO REGIONAL MEDICAL CENTER
2020-03-31 12:47:54,2020-03-31 12:47:54,DOH000000000000770,1,0,0,12,0,0,0,43,2020-03-31,7,8,0,0,0,20,22,8,12,0,108,ST. MARTIN'S MISSION HOSPITAL
2020-04-10 19:02:00,2020-04-10 19:02:00,DOH000000000004076,0,0,0,266,0,0,0,553,2020-04-10,97,480,0,0,0,0,225,998,49,0,266,"ADVENTIST HOSPITAL-DAVAO, INC."
2020-04-03 21:10:24,2020-04-03 21:10:24,DOH000000000004076,0,0,0,106,0,0,0,226,2020-04-03,100,160,0,0,0,0,200,700,5,0,106,"ADVENTIST HOSPITAL-DAVAO, INC."
2020-04-10 21:24:14,2020-04-10 21:24:14,DOH000000000000377,0,0,0,7,0,0,0,567,2020-04-10,3,10,0,0,0,0,8,0,2,0,0,"DAVAO MEDIQUEST HOSPITAL, INC."
2020-04-10 15:39:16,2020-04-10 15:39:16,DOH000000000003562,0,0,0,10,0,0,0,417,2020-04-10,3,0,0,0,0,0,50,1,1,0,8,TRIFON SAILE MEMORIAL HOSPITAL
2020-04-07 16:20:40,2020-04-07 16:20:40,DOH000000000000553,0,0,0,0,0,0,0,272,2020-04-07,0,0,0,0,0,0,0,0,0,0,0,GINGOOG SANITARIUM AND HOSPITAL
2020-03-29 11:09:14,2020-03-29 11:09:14,DOH000000000004637,0,0,0,6,0,0,0,23,2020-03-29,3,3,0,0,0,20,10,1,6,0,20,"NAZARETH GENERAL HOSPITAL, INC."
2020-04-11 6:59:57,2020-04-11 6:59:57,DOH000000000004637,0,0,0,50,0,0,0,573,2020-04-11,10,5,0,0,0,100,70,5,30,0,100,"NAZARETH GENERAL HOSPITAL, INC."
2020-04-05 7:05:41,2020-04-05 7:05:41,DOH000000000004637,0,0,0,50,0,0,0,245,2020-04-05,10,5,0,0,0,50,30,2,30,0,50,"NAZARETH GENERAL HOSPITAL, INC."
2020-04-10 15:39:25,2020-04-10 15:39:25,DOH000000000000472,0,0,0,0,0,0,0,418,2020-04-10,5,10,0,0,0,0,10,2,0,0,10,"DIGNUM FOUNDATION HOSPITAL, INC."
2020-04-10 12:15:06,2020-04-10 12:15:06,DOH000000000004692,0,0,0,0,0,0,0,339,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,NEW BULAN ST. JUDE MEDICAL CLINIC
2020-04-10 16:09:12,2020-04-10 16:09:12,DOH000000000000390,0,0,0,10,0,0,0,475,2020-04-10,10,5,0,0,0,0,20,0,0,0,50,"TANCHULING GENERAL HOSPITAL, INC."
2020-04-10 15:27:34,2020-04-10 15:27:34,DOH000000000007036,0,0,0,11,1,0,0,408,2020-04-10,107,42,0,0,0,164,97,5,0,0,50,"ZAMBOANGA DOCTORS? HOSPITAL, INC."
2020-04-10 13:58:01,2020-04-10 13:58:01,DOH000000000002752,0,0,0,8,0,0,0,365,2020-04-10,2,2,0,0,0,0,10,1,2,0,10,CARLOS P. ACOSTA CLINIC & HOSPITAL
2020-04-03 3:05:32,2020-04-03 3:05:32,DOH000000000032023,0,0,0,0,0,0,0,131,2020-04-03,200,100,0,0,0,0,200,15,20,0,4000,"DIVINE MERCY WELLNESS CENTER, INC."
2020-04-10 8:33:03,2020-04-10 8:33:03,DOH000000000005811,0,0,0,61,0,0,0,290,2020-04-10,20,22,0,0,0,135,49,5,41,0,400,"RICARDO LIMSO MEDICAL CENTER, INC."
2020-04-04 13:03:38,2020-04-04 13:03:38,DOH000000000005811,0,0,0,76,0,0,0,235,2020-04-04,22,20,0,0,0,157,40,6,45,0,300,"RICARDO LIMSO MEDICAL CENTER, INC."
2020-04-10 16:05:38,2020-04-10 16:05:38,DOH000000000033471,0,0,0,6,0,0,0,468,2020-04-10,30,0,0,0,0,6,40,0,50,0,0,"SAN MATEO MULTICARE HOSPITAL, INC."
2020-04-10 10:29:01,2020-04-10 10:29:01,DOH000000000006592,0,0,0,39,0,0,0,316,2020-04-10,444,64,0,0,0,1475,245,28,123,0,2600,SOUTH COTABATO PROVINCIAL HOSPITAL
2020-04-03 3:35:35,2020-04-03 3:35:35,DOH000000000002993,0,0,0,5,0,0,0,154,2020-04-03,40,20,0,0,0,0,10,0,5,0,200,"ANDA RIVERVIEW MEDICAL CENTER, INC."
2020-04-10 16:16:33,2020-04-10 16:16:33,DOH000000000035565,0,0,0,40,0,0,0,486,2020-04-10,10,10,0,0,0,0,20,0,0,0,0,"APAYAO CAGAYAN MEDICAL CENTER, INC."
2020-04-10 16:49:55,2020-04-10 16:49:55,DOH000000000024471,0,0,0,11,0,0,0,522,2020-04-10,5,5,0,0,0,11,50,1,11,0,25,CAMP ELIAS ANGELES STATION HOSPITAL
2020-04-03 16:57:10,2020-04-03 16:57:10,DOH000000000007971,0,0,0,0,0,0,0,207,2020-04-03,10,0,0,0,0,3,5,0,7,0,0,WILFREDO C. PALMA MEMORIAL HOSPITAL
2020-04-10 15:40:49,2020-04-10 15:40:49,DOH000000000007971,0,0,0,10,0,0,0,420,2020-04-10,2,2,0,0,0,5,10,1,10,0,10,WILFREDO C. PALMA MEMORIAL HOSPITAL
2020-04-11 8:28:32,2020-04-11 8:28:32,DOH000000000032432,0,0,0,15,0,0,0,579,2020-04-11,3,1,0,0,0,50,10,0,10,0,100,"BRIGINO GENERAL HOSPITAL, INC. (New)"
2020-04-03 12:12:55,2020-04-03 12:12:55,DOH000000000032432,0,0,0,10,0,0,0,98,2020-04-03,2,1,0,0,0,20,2,1,10,0,20,"BRIGINO GENERAL HOSPITAL, INC. (New)"
2020-04-03 4:22:42,2020-04-03 4:22:42,DOH000000000003758,0,0,0,5,0,0,0,186,2020-04-03,2,19,0,0,0,5,40,0,3,0,5,BUGASONG MEDICARE COMMUNITY HOSPITAL
2020-04-10 15:35:58,2020-04-10 15:35:58,DOH000000000003758,0,0,0,11,0,0,0,416,2020-04-10,2,14,0,0,0,6,40,0,4,0,6,BUGASONG MEDICARE COMMUNITY HOSPITAL
2020-04-10 15:23:49,2020-04-10 15:23:49,DOH000000000033251,0,0,0,0,0,0,0,402,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,AURORA COMMUNITY & EMERGENCY HOSPITAL
2020-04-10 9:56:42,2020-04-10 9:56:42,DOH000000000000471,0,0,0,2,0,0,0,310,2020-04-10,2,2,0,0,0,0,0,0,0,0,10,DELBERT JON'S POLYCLINIC INCORPORATED
2020-04-03 3:28:18,2020-04-03 3:28:18,DOH000000000004926,0,0,0,7,0,0,0,147,2020-04-03,15,20,0,0,0,0,100,4,7,0,1000,GIG OCA ROBLES SEAMEN?S HOSPITAL DAVAO
2020-04-10 13:15:53,2020-04-10 13:15:53,DOH000000000004926,0,0,0,7,0,0,0,352,2020-04-10,15,20,0,0,0,0,100,4,7,0,1000,GIG OCA ROBLES SEAMEN?S HOSPITAL DAVAO
2020-04-03 16:41:44,2020-04-03 16:41:44,DOH000000000005566,0,0,0,3,0,0,0,199,2020-04-03,3,3,0,0,0,2,50,0,0,0,10,"PLTC, INC. LUIS A. TIAM MEDICAL CENTER"
2020-04-03 9:42:07,2020-04-03 9:42:07,DOH000000000034333,0,0,0,0,0,0,0,86,2020-04-03,15,3,0,0,0,0,3,2,0,0,100,CARRASCAL PRIMARY HEALTH CARE INFIRMARY
2020-04-10 14:00:37,2020-04-10 14:00:37,DOH000000000034333,0,0,0,0,0,0,0,366,2020-04-10,84,2,0,0,0,0,90,1,0,0,600,CARRASCAL PRIMARY HEALTH CARE INFIRMARY
2020-04-10 15:14:04,2020-04-10 15:14:04,DOH000000000004959,0,0,0,35,0,0,0,398,2020-04-10,3,1,0,0,0,10,40,0,15,0,75,MAYOR JOAQUIN MACIAS MEMORIAL INFIRMARY
2020-04-11 18:49:21,2020-04-11 18:49:21,DOH000000000011589,0,0,0,5,0,0,0,609,2020-04-11,1,2,0,0,0,5,10,2,2,0,10,"MOTHER OF MERCY HOSPITAL-TACLOBAN, INC."
2020-04-03 12:29:20,2020-04-03 12:29:20,DOH000000000002597,0,0,0,3,0,0,0,101,2020-04-03,10,3,0,0,0,0,0,1,20,0,200,"ST. JOHN GENERAL HOSPITAL OF BUUG, INC."
2020-04-10 16:45:07,2020-04-10 16:45:07,DOH000000000002597,0,0,0,9,0,0,0,518,2020-04-10,9,1,0,0,0,0,0,0,18,0,150,"ST. JOHN GENERAL HOSPITAL OF BUUG, INC."
2020-04-10 16:41:27,2020-04-10 16:41:27,DOH000000000007527,0,0,0,8,0,0,0,512,2020-04-10,1,0,0,0,0,8,20,0,8,0,8,UNIVERSIDAD DE ZAMBOANGA MEDICAL CENTER
2020-04-10 19:47:57,2020-04-10 19:47:57,DOH000000000007488,1,0,3,172,0,0,5,559,2020-04-10,293,766,0,0,0,108,130,530,103,0,10887,DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER
2020-04-10 20:00:18,2020-04-10 20:00:18,DOH000000000004256,0,0,0,0,0,0,0,561,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,DR. SOFRONIO B. GARCIA MEMORIAL HOSPITAL
2020-04-10 9:11:03,2020-04-10 9:11:03,DOH000000000023762,0,0,0,2,0,0,0,301,2020-04-10,2,3,0,0,0,0,0,0,2,0,0,ASENTISTA DOCTORS HOSPITAL AND LABORATORY
2020-04-03 3:26:40,2020-04-03 3:26:40,DOH000000000023762,0,0,0,0,0,0,0,145,2020-04-03,0,0,0,0,0,0,0,0,0,0,0,ASENTISTA DOCTORS HOSPITAL AND LABORATORY
2020-04-10 16:32:22,2020-04-10 16:32:22,DOH000000000001656,0,0,0,8,0,0,0,500,2020-04-10,100,36,0,0,0,0,1,2,12,0,50,BUKIDNON PROVINCIAL HOSPITAL - KALILANGAN
2020-04-10 17:30:34,2020-04-10 17:30:34,DOH000000000003441,0,0,0,6,0,0,0,541,2020-04-10,20,0,0,0,0,0,15,0,4,0,50,DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL
2020-04-03 3:26:03,2020-04-03 3:26:03,DOH000000000000389,0,0,0,18,0,0,0,142,2020-04-03,50,50,0,0,0,100,18,5,18,0,100,"LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC."
2020-04-10 8:47:10,2020-04-10 8:47:10,DOH000000000002452,0,0,0,5,0,0,0,292,2020-04-10,2,2,0,0,0,0,20,0,2,0,100,LILOY INTEGRATED HEALTH DISTRICT HOSPITAL
2020-04-04 16:30:59,2020-04-04 16:30:59,DOH000000000004797,0,0,0,20,0,0,0,240,2020-04-04,10,200,0,0,0,100,40,5,10,0,400,OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL
2020-04-12 3:41:34,2020-04-12 3:41:34,DOH000000000004797,0,0,0,16,0,0,0,612,2020-04-12,11,22,0,0,0,82,44,5,14,0,382,OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL
2020-04-11 8:28:19,2020-04-11 8:28:19,DOH000000000032445,0,0,0,2,0,0,0,578,2020-04-11,2,2,0,0,0,2,2,2,2,0,2,BARRIOS-BUSINOS MEDICAL CLINIC AND HOSPITAL
2020-04-10 17:02:22,2020-04-10 17:02:22,DOH000000000004517,0,0,0,300,0,0,0,529,2020-04-10,150,50,0,0,0,200,50,15,5,0,150,"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC."
2020-04-03 1:29:03,2020-04-03 1:29:03,DOH000000000003555,0,0,0,25,0,0,0,107,2020-04-03,3,5,0,0,0,5,40,1,3,0,4,SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER
2020-04-10 15:41:17,2020-04-10 15:41:17,DOH000000000005127,0,0,0,40,0,0,0,421,2020-04-10,61,71,0,0,0,8,191,4,0,0,327,"ADVENTIST MEDICAL CENTER-VALENCIA CITY, INC."
2020-04-10 16:27:40,2020-04-10 16:27:40,DOH000000000000461,0,0,0,10,0,0,0,498,2020-04-10,3,10,0,0,0,0,30,0,0,0,0,CRISPIN M. PARAGAS MEMORIAL HOSPITAL (Curuan)
2020-04-10 17:27:15,2020-04-10 17:27:15,DOH000000000000143,1,0,5,0,0,0,7,540,2020-04-10,4,0,0,0,0,0,0,0,0,0,0,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL
2020-04-10 16:35:50,2020-04-10 16:35:50,DOH000000000037893,0,0,0,0,0,0,0,508,2020-04-10,3,2,0,0,0,0,13,1,0,0,0,GONZALES MEDICAL-SURGICAL AND BIRTHING CLINIC
2020-04-11 14:17:43,2020-04-11 14:17:43,DOH000000000027955,0,0,0,100,0,0,0,600,2020-04-11,100,300,0,0,0,0,200,20,50,0,200,"METRO DAVAO MEDICAL AND RESEARCH CENTER, INC."
2020-04-11 12:05:54,2020-04-11 12:05:54,DOH000000000007512,0,0,0,0,0,0,0,595,2020-04-11,1,1,0,0,0,0,60,0,10,0,50,"CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL, INC."
2020-04-10 10:26:55,2020-04-10 10:26:55,DOH000000000000323,0,0,0,0,0,0,0,315,2020-04-10,1,0,0,0,0,0,7,0,0,0,0,BUNGABONG-SANICO MEDICAL CLINIC & MATERNITY HOSPITAL
2020-04-11 9:14:09,2020-04-11 9:14:09,DOH000000000003975,0,0,0,0,0,0,0,583,2020-04-11,0,0,0,0,0,0,0,0,0,0,0,NUESTRO ESPIRITU MEDICAL-SURGICAL AND DIAGNOSTIC CLINIC
2020-04-04 11:50:25,2020-04-04 11:50:25,DOH000000000001668,0,0,0,15,0,0,0,232,2020-04-04,0,0,0,0,0,16,0,4,22,0,115,VICE GOVERNOR FRANCISCO PONCE DE LEON MEMORIAL HOSPITAL
2020-04-10 16:50:18,2020-04-10 16:50:18,DOH000000000001668,0,0,0,28,0,0,0,523,2020-04-10,2,4,0,0,0,62,30,25,21,0,33,VICE GOVERNOR FRANCISCO PONCE DE LEON MEMORIAL HOSPITAL
2020-04-11 8:59:07,2020-04-11 8:59:07,DOH000000000007482,0,0,0,50,0,0,0,582,2020-04-11,50,50,0,0,0,10,200,2,50,0,200,DAVAO DEL NORTE HOSPITAL (ISALND GARDEN CITY OF SAMAL ZONE)
2020-04-02 5:13:26,2020-04-02 5:13:26,DOH000000000006003,0,0,0,50,0,0,0,74,2020-04-02,5000,500,0,0,0,200,1000,500,10,0,1000,"CAPITOL UNIVERSITY MEDICAL CENTER FOUNDATION OF CAGAYAN, INC"
2020-04-10 14:22:31,2020-04-10 14:22:31,DOH000000000030198,0,0,0,758,0,0,0,373,2020-04-10,240,240,0,0,0,1100,30,5,32,0,1200,INDIGINEOUS PEOPLES HOSPITAL FOUNDATION OF THE DIOCESE OF BA
2020-04-03 17:58:18,2020-04-03 17:58:18,DOH000000000003751,0,0,0,7,0,0,0,217,2020-04-03,0,0,0,0,0,0,40,0,0,0,25,MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATI
2020-04-10 13:19:08,2020-04-10 13:19:08,DOH000000000003751,0,0,0,45,0,0,0,353,2020-04-10,20,65,0,0,0,0,40,0,0,0,0,MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATI
2020-04-10 18:34:46,2020-04-10 18:34:46,DOH000000000003620,0,0,0,13,0,0,0,550,2020-04-10,700,140,0,0,0,50,106,6,0,0,4900,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES
