cfname,updateddate,addeddate,hfhudcode,beds_ward_v,reportdate,id,isolbed_v,icu_o,beds_ward_o,icu_v,isolbed_o,mechvent_o,mechvent_v
RAMOS GENERAL HOSPITAL,2020-04-18 11:00:23,2020-04-18 11:00:23,DOH000000000000393,0,2020-04-18,2173,0,1,0,0,2,1,8
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,2020-04-16 14:04:14,2020-04-16 14:04:14,DOH000000000000446,0,2020-04-16,539,5,6,0,1,14,2,8
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,2020-04-18 9:45:02,2020-04-18 9:45:02,DOH000000000000446,0,2020-04-18,2095,1,7,0,0,18,4,6
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-17 13:53:44,2020-04-17 13:53:44,DOH000000000000502,64,2020-04-17,1430,64,0,39,97,39,0,51
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-18 9:08:37,2020-04-18 9:08:37,DOH000000000000502,65,2020-04-18,2024,65,1,38,96,38,1,50
DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-16 12:54:06,2020-04-16 12:54:06,DOH000000000000512,0,2020-04-16,487,1,0,0,1,4,0,13
DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-17 11:38:37,2020-04-17 11:38:37,DOH000000000000512,0,2020-04-17,1344,0,0,0,1,3,0,13
EAST AVENUE MEDICAL CENTER,2020-04-17 20:49:44,2020-04-17 20:49:44,DOH000000000000540,7,2020-04-17,1576,15,7,13,0,49,6,18
EAST AVENUE MEDICAL CENTER,2020-04-16 15:14:00,2020-04-16 15:14:00,DOH000000000000540,25,2020-04-16,600,3,7,22,0,53,6,18
"MEDICAL CENTER MANILA, INC.",2020-04-18 12:55:14,2020-04-18 12:55:14,DOH000000000000655,0,2020-04-18,2263,0,2,0,0,14,0,18
"MEDICAL CENTER MANILA, INC.",2020-04-17 8:12:46,2020-04-17 8:12:46,DOH000000000000655,0,2020-04-17,942,0,2,0,0,14,0,18
PASIG CITY GENERAL HOSPITAL,2020-04-17 12:26:45,2020-04-17 12:26:45,DOH000000000000700,0,2020-04-17,1372,1,10,3,4,6,1,6
NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,2020-04-18 12:51:13,2020-04-18 12:51:13,DOH000000000001981,4,2020-04-18,2262,84,1,0,4,81,4,9
CAGAYAN VALLEY MEDICAL CENTER,2020-04-18 8:21:16,2020-04-18 8:21:16,DOH000000000002162,0,2020-04-18,1889,65,0,0,5,23,1,9
CAGAYAN VALLEY MEDICAL CENTER,2020-04-17 11:26:00,2020-04-17 11:26:00,DOH000000000002162,19,2020-04-17,1333,74,0,0,5,14,0,10
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-16 11:57:19,2020-04-16 11:57:19,DOH000000000002777,17,2020-04-16,443,9,2,5,17,26,2,13
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-17 8:56:33,2020-04-17 8:56:33,DOH000000000002777,18,2020-04-17,1124,7,3,4,16,28,2,13
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-18 9:31:57,2020-04-18 9:31:57,DOH000000000002777,18,2020-04-18,2073,3,3,4,16,32,3,12
BATANGAS MEDICAL CENTER,2020-04-16 15:14:54,2020-04-16 15:14:54,DOH000000000002829,0,2020-04-16,601,0,0,0,0,20,1,29
BATANGAS MEDICAL CENTER,2020-04-17 16:15:29,2020-04-17 16:15:29,DOH000000000002829,0,2020-04-17,1512,0,0,0,0,20,0,30
ZAMBOANGA CITY MEDICAL CENTER,2020-04-18 8:24:29,2020-04-18 8:24:29,DOH000000000003815,2,2020-04-18,1902,19,6,4,0,62,2,10
ZAMBOANGA CITY MEDICAL CENTER,2020-04-17 15:55:09,2020-04-17 15:55:09,DOH000000000003815,1,2020-04-17,1499,24,2,4,16,61,2,10
ZAMBOANGA CITY MEDICAL CENTER,2020-04-16 17:10:01,2020-04-16 17:10:01,DOH000000000003815,1,2020-04-16,677,28,6,4,0,57,2,10
CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,2020-04-17 16:24:52,2020-04-17 16:24:52,DOH000000000004299,12,2020-04-17,1521,19,0,0,3,3,0,13
CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,2020-04-16 10:49:30,2020-04-16 10:49:30,DOH000000000004299,12,2020-04-16,387,19,0,0,0,3,0,13
UP-PHILIPPINE GENERAL HOSPITAL,2020-04-17 20:23:00,2020-04-17 20:20:28,DOH000000000005032,18,2020-04-17,1574,28,7,48,9,74,9,26
WESTERN VISAYAS MEDICAL CENTER,2020-04-18 9:52:04,2020-04-18 9:52:04,DOH000000000005034,0,2020-04-18,2101,10,0,0,10,23,10,9
"ILOILO MISSION HOSPITAL, INC.",2020-04-18 10:44:40,2020-04-18 10:44:40,DOH000000000005614,0,2020-04-18,2156,0,0,0,0,5,0,11
"ILOILO MISSION HOSPITAL, INC.",2020-04-17 8:28:39,2020-04-17 8:28:39,DOH000000000005614,0,2020-04-17,1016,0,0,0,0,4,0,12
SACRED HEART MEDICAL CENTER,2020-04-16 16:11:02,2020-04-16 16:11:02,DOH000000000005661,0,2020-04-16,645,1,1,0,1,1,9,9
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-17 12:03:45,2020-04-17 12:03:45,DOH000000000005937,0,2020-04-17,1363,29,0,0,20,3,1,23
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-16 13:01:57,2020-04-16 13:01:57,DOH000000000005937,0,2020-04-16,495,29,0,0,20,3,1,23
VICENTE SOTTO MEMORIAL MEDICAL CENTER,2020-04-18 10:06:34,2020-04-18 10:06:34,DOH000000000005937,0,2020-04-18,2112,29,0,0,20,3,0,24
LUNG CENTER OF THE PHILIPPINES,2020-04-18 10:32:47,2020-04-18 10:32:47,DOH000000000006028,0,2020-04-18,2140,1,21,0,5,36,17,33
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-17 8:02:04,2020-04-17 8:02:04,DOH000000000006592,15,2020-04-17,883,15,3,3,3,3,0,7
SOUTH COTABATO PROVINCIAL HOSPITAL,2020-04-16 8:53:25,2020-04-16 8:53:25,DOH000000000006592,14,2020-04-16,240,14,4,4,2,4,0,7
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-17 8:55:12,2020-04-17 8:55:12,DOH000000000007520,1,2020-04-17,1119,0,0,8,0,0,3,7
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-16 15:28:57,2020-04-16 15:28:57,DOH000000000007520,0,2020-04-16,614,0,0,9,0,0,3,7
QUIRINO MEMORIAL MEDICAL CENTER,2020-04-18 8:20:55,2020-04-18 8:20:55,DOH000000000007520,2,2020-04-18,1887,0,0,7,0,0,3,7
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-18 9:38:21,2020-04-18 9:38:21,DOH000000000023755,6,2020-04-18,2082,0,3,6,5,0,0,7
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-16 14:00:29,2020-04-16 14:00:29,DOH000000000023755,0,2020-04-16,535,0,12,1,0,0,0,7
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC. (fo",2020-04-17 10:27:52,2020-04-17 10:27:52,DOH000000000023755,0,2020-04-17,1264,0,3,6,0,0,0,7
,2020-04-16 8:15:30,2020-04-16 8:15:30,,0,2020-04-16,152,0,0,0,0,0,0,0
,2020-04-17 8:22:05,2020-04-17 8:22:05,,0,2020-04-17,991,0,0,0,0,0,0,0
PIDDIG DISTRICT HOSPITAL,2020-04-16 8:31:02,2020-04-16 8:31:02,DOH000000000000001,2,2020-04-16,184,0,0,0,0,0,0,0
PIDDIG DISTRICT HOSPITAL,2020-04-17 8:30:52,2020-04-17 8:30:52,DOH000000000000001,0,2020-04-17,1027,2,0,0,0,0,0,0
PIDDIG DISTRICT HOSPITAL,2020-04-18 8:06:09,2020-04-18 8:06:09,DOH000000000000001,0,2020-04-18,1807,2,0,0,0,0,0,0
LABASON DISTRICT HOSPITAL,2020-04-18 7:57:58,2020-04-18 7:57:58,DOH000000000000004,0,2020-04-18,1742,2,0,0,0,0,0,0
LABASON DISTRICT HOSPITAL,2020-04-16 9:07:51,2020-04-16 9:07:51,DOH000000000000004,0,2020-04-16,267,2,0,0,0,0,0,0
LABASON DISTRICT HOSPITAL,2020-04-17 11:37:57,2020-04-17 11:37:57,DOH000000000000004,0,2020-04-17,1342,2,0,0,0,0,0,0
LA PAZ MUNICIPAL HOSPITAL,2020-04-18 12:27:11,2020-04-18 12:27:11,DOH000000000000019,0,2020-04-18,2246,0,0,0,0,0,0,0
LA PAZ MUNICIPAL HOSPITAL,2020-04-16 8:07:14,2020-04-16 8:07:14,DOH000000000000019,0,2020-04-16,137,0,0,0,0,0,0,0
LA PAZ MUNICIPAL HOSPITAL,2020-04-17 8:21:33,2020-04-17 8:21:33,DOH000000000000019,0,2020-04-17,988,0,0,0,0,0,0,0
BANGUI DISTRICT HOSPITAL,2020-04-18 8:58:34,2020-04-18 8:58:34,DOH000000000000023,0,2020-04-18,1998,1,0,0,0,0,0,0
BANGUI DISTRICT HOSPITAL,2020-04-16 13:50:21,2020-04-16 13:50:21,DOH000000000000023,0,2020-04-16,527,1,0,0,0,0,0,0
BANGUI DISTRICT HOSPITAL,2020-04-17 8:27:41,2020-04-17 8:27:41,DOH000000000000023,0,2020-04-17,1012,1,0,0,0,0,0,0
GERTES CLINIC AND HOSPITAL,2020-04-17 8:49:19,2020-04-17 8:49:19,DOH000000000000024,0,2020-04-17,1100,0,0,0,0,0,0,0
GERTES CLINIC AND HOSPITAL,2020-04-18 10:03:30,2020-04-18 10:03:30,DOH000000000000024,0,2020-04-18,2109,0,0,0,0,0,0,0
GERTES CLINIC AND HOSPITAL,2020-04-16 14:09:56,2020-04-16 14:09:56,DOH000000000000024,0,2020-04-16,546,0,0,0,0,0,0,0
SIRUMA MUNICIPAL HOSPITAL,2020-04-17 8:11:53,2020-04-17 8:11:53,DOH000000000000060,0,2020-04-17,936,0,0,0,0,0,0,0
SIRUMA MUNICIPAL HOSPITAL,2020-04-16 8:24:25,2020-04-16 8:24:25,DOH000000000000060,0,2020-04-16,171,0,0,0,0,0,0,0
SIRUMA MUNICIPAL HOSPITAL,2020-04-18 8:04:23,2020-04-18 8:04:23,DOH000000000000060,0,2020-04-18,1793,0,0,0,0,0,0,0
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-18 7:47:22,2020-04-18 7:47:22,DOH000000000000143,0,2020-04-18,1708,5,0,0,0,0,0,0
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-16 13:31:06,2020-04-16 13:31:06,DOH000000000000143,0,2020-04-16,515,5,0,0,0,0,0,0
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-17 11:40:49,2020-04-17 11:40:49,DOH000000000000143,0,2020-04-17,1345,5,0,0,0,0,0,0
BARILI DISTRICT HOSPITAL,2020-04-18 8:18:45,2020-04-18 8:18:45,DOH000000000000221,2,2020-04-18,1877,2,0,0,0,0,0,0
BARILI DISTRICT HOSPITAL,2020-04-17 8:32:01,2020-04-17 8:32:01,DOH000000000000221,2,2020-04-17,1035,2,0,0,0,0,0,0
BULALACAO COMMUNITY HOSPITAL,2020-04-16 14:38:27,2020-04-16 14:35:39,DOH000000000000222,0,2020-04-16,573,5,0,0,0,3,0,0
DAANBANTAYAN DISTRICT HOSPITAL,2020-04-18 8:33:18,2020-04-18 8:33:18,DOH000000000000224,0,2020-04-18,1927,0,0,0,0,0,0,0
OSLOB DISTRICT HOSPITAL,2020-04-17 8:48:13,2020-04-17 8:48:13,DOH000000000000225,0,2020-04-17,1094,2,0,0,0,0,0,0
OSLOB DISTRICT HOSPITAL,2020-04-16 12:25:10,2020-04-16 12:25:10,DOH000000000000225,0,2020-04-16,472,2,0,0,0,0,0,0
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-18 13:09:35,2020-04-18 13:09:35,DOH000000000000226,0,2020-04-18,2269,2,0,0,0,2,0,0
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-17 13:09:15,2020-04-17 13:09:15,DOH000000000000226,0,2020-04-17,1398,1,0,0,0,1,0,0
ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-16 17:24:32,2020-04-16 17:24:32,DOH000000000000226,0,2020-04-16,683,1,0,0,0,1,0,0
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-18 7:22:51,2020-04-18 7:22:51,DOH000000000000227,3,2020-04-18,1660,3,0,0,0,1,0,0
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-16 11:19:39,2020-04-16 11:19:39,DOH000000000000227,3,2020-04-16,408,3,0,0,0,1,0,0
REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-17 7:59:45,2020-04-17 7:59:45,DOH000000000000227,0,2020-04-17,873,3,0,0,0,1,0,0
QUEZON MEDICARE HOSPITAL,2020-04-18 8:04:56,2020-04-18 8:04:56,DOH000000000000228,0,2020-04-18,1796,0,0,0,0,1,0,0
QUEZON MEDICARE HOSPITAL,2020-04-16 8:52:32,2020-04-16 8:52:32,DOH000000000000228,0,2020-04-16,237,0,0,0,0,0,0,0
QUEZON MEDICARE HOSPITAL,2020-04-17 9:57:32,2020-04-17 9:57:32,DOH000000000000228,0,2020-04-17,1229,0,0,0,0,0,0,0
LASAM DISTRICT HOSPITAL,2020-04-17 12:46:15,2020-04-17 12:46:15,DOH000000000000230,0,2020-04-17,1389,0,0,0,0,0,0,0
LASAM DISTRICT HOSPITAL,2020-04-18 8:53:52,2020-04-18 8:53:52,DOH000000000000230,0,2020-04-18,1988,0,0,0,0,0,0,0
LUBANG DISTRICT HOSPITAL,2020-04-16 8:29:02,2020-04-16 8:29:02,DOH000000000000231,0,2020-04-16,181,3,0,0,0,0,0,0
TOLEDO CITY GENERAL HOSPITAL,2020-04-16 14:53:42,2020-04-16 14:53:42,DOH000000000000233,0,2020-04-16,587,1,0,0,0,1,0,0
TOLEDO CITY GENERAL HOSPITAL,2020-04-17 10:09:30,2020-04-17 10:09:30,DOH000000000000233,0,2020-04-17,1247,1,0,0,0,1,0,0
TOLEDO CITY GENERAL HOSPITAL,2020-04-18 10:55:07,2020-04-18 10:55:07,DOH000000000000233,0,2020-04-18,2167,2,0,0,0,0,0,0
MATILDE A. OLIVAS DISTRICT HOSPITAL,2020-04-17 8:57:02,2020-04-17 8:57:02,DOH000000000000235,0,2020-04-17,1127,2,0,0,0,1,0,0
MATILDE A. OLIVAS DISTRICT HOSPITAL,2020-04-18 7:16:53,2020-04-18 7:16:53,DOH000000000000235,0,2020-04-18,1648,2,0,0,0,1,0,0
Ospital ng Palawan,2020-04-16 8:13:55,2020-04-16 8:13:55,DOH000000000000236,4,2020-04-16,148,1,0,0,4,4,1,0
CAWAYAN MUNICIPAL HOSPITAL,2020-04-17 6:44:22,2020-04-17 6:44:22,DOH000000000000239,0,2020-04-17,747,0,0,0,0,0,0,0
CAWAYAN MUNICIPAL HOSPITAL,2020-04-18 9:06:29,2020-04-18 9:06:29,DOH000000000000239,0,2020-04-18,2022,0,0,0,0,0,0,0
CAWAYAN MUNICIPAL HOSPITAL,2020-04-16 7:24:48,2020-04-16 7:24:48,DOH000000000000239,0,2020-04-16,63,0,0,0,0,0,0,0
ZAPANTA GENERAL HOSPITAL,2020-04-16 12:16:38,2020-04-16 12:16:38,DOH000000000000240,0,2020-04-16,462,0,0,0,0,0,0,0
ZAPANTA GENERAL HOSPITAL,2020-04-18 7:23:49,2020-04-18 7:23:49,DOH000000000000240,0,2020-04-18,1663,0,0,0,0,0,0,0
ZAPANTA GENERAL HOSPITAL,2020-04-17 7:30:13,2020-04-17 7:30:13,DOH000000000000240,0,2020-04-17,800,0,0,0,0,0,0,0
MAPANDAN COMMUNITY HOSPITAL,2020-04-16 12:11:04,2020-04-16 12:11:04,DOH000000000000243,0,2020-04-16,457,0,0,0,0,0,0,0
MAPANDAN COMMUNITY HOSPITAL,2020-04-17 8:07:05,2020-04-17 8:07:05,DOH000000000000243,0,2020-04-17,907,0,0,0,0,0,0,0
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-16 6:38:43,2020-04-16 6:38:43,DOH000000000000246,0,2020-04-16,26,0,0,0,0,0,0,0
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-18 6:56:44,2020-04-18 6:56:44,DOH000000000000246,0,2020-04-18,1622,0,0,0,0,0,0,0
SAN JOSE MEDICARE COMMUNITY HOSPITAL,2020-04-17 6:57:40,2020-04-17 6:57:40,DOH000000000000246,0,2020-04-17,758,0,0,0,0,0,0,0
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-16 10:00:12,2020-04-16 7:20:00,DOH000000000000247,0,2020-04-16,59,5,0,0,0,0,0,0
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-18 7:12:49,2020-04-18 7:12:49,DOH000000000000247,0,2020-04-18,1643,5,0,0,0,0,0,0
JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL,2020-04-17 7:34:24,2020-04-17 7:34:24,DOH000000000000247,0,2020-04-17,810,5,0,0,0,0,0,0
PANDAN DISTRICT HOSPITAL,2020-04-18 9:39:26,2020-04-18 9:39:26,DOH000000000000252,11,2020-04-18,2083,2,0,0,0,0,0,0
PANDAN DISTRICT HOSPITAL,2020-04-17 7:20:30,2020-04-17 7:20:30,DOH000000000000252,11,2020-04-17,784,2,0,0,0,0,0,0
PANDAN DISTRICT HOSPITAL,2020-04-16 8:27:59,2020-04-16 8:27:59,DOH000000000000252,11,2020-04-16,177,2,0,0,0,0,0,0
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,2020-04-18 7:56:07,2020-04-18 7:56:07,DOH000000000000253,3,2020-04-18,1737,3,0,0,0,0,0,0
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,2020-04-16 7:52:49,2020-04-16 7:52:49,DOH000000000000253,3,2020-04-16,107,3,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SINAIT,2020-04-18 8:03:26,2020-04-18 8:03:26,DOH000000000000254,0,2020-04-18,1783,0,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SINAIT,2020-04-17 8:18:00,2020-04-17 8:18:00,DOH000000000000254,0,2020-04-17,973,0,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SINAIT,2020-04-16 8:40:10,2020-04-16 8:40:10,DOH000000000000254,0,2020-04-16,204,0,0,0,0,0,0,0
DONSOL DISTRICT HOSPITAL,2020-04-17 7:03:10,2020-04-17 7:03:10,DOH000000000000257,0,2020-04-17,764,0,0,0,0,0,0,0
DONSOL DISTRICT HOSPITAL,2020-04-18 8:59:37,2020-04-18 8:59:37,DOH000000000000257,0,2020-04-18,2001,0,0,0,0,0,0,0
SANTA CRUZ DISTRICT HOSPITAL,2020-04-17 9:34:50,2020-04-17 9:34:50,DOH000000000000260,0,2020-04-17,1188,0,0,0,0,0,0,0
SANTA CRUZ DISTRICT HOSPITAL,2020-04-18 8:19:19,2020-04-18 8:19:19,DOH000000000000260,0,2020-04-18,1880,0,0,0,0,0,0,0
SANTA CRUZ DISTRICT HOSPITAL,2020-04-16 10:44:29,2020-04-16 10:44:29,DOH000000000000260,0,2020-04-16,381,0,0,0,0,0,0,0
VIGA DISTRICT HOSPITAL,2020-04-17 8:47:23,2020-04-17 8:47:23,DOH000000000000261,1,2020-04-17,1092,1,0,0,0,0,0,0
VIGA DISTRICT HOSPITAL,2020-04-18 10:36:50,2020-04-18 10:36:50,DOH000000000000261,1,2020-04-18,2149,1,0,0,0,0,0,0
VIGA DISTRICT HOSPITAL,2020-04-16 11:25:37,2020-04-16 11:25:37,DOH000000000000261,1,2020-04-16,411,1,0,0,0,0,0,0
CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,2020-04-16 10:41:35,2020-04-16 10:41:35,DOH000000000000264,2,2020-04-16,378,2,0,0,0,0,0,0
CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,2020-04-17 8:39:07,2020-04-17 8:39:07,DOH000000000000264,2,2020-04-17,1067,2,0,0,0,0,0,0
CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,2020-04-18 11:23:04,2020-04-18 11:23:04,DOH000000000000264,2,2020-04-18,2191,2,0,0,0,0,0,0
URDANETA DISTRICT HOSPITAL,2020-04-17 8:45:32,2020-04-17 8:45:32,DOH000000000000265,0,2020-04-17,1086,1,0,0,0,2,8,0
URDANETA DISTRICT HOSPITAL,2020-04-16 12:02:37,2020-04-16 12:02:37,DOH000000000000265,0,2020-04-16,451,0,0,0,0,3,0,0
URDANETA DISTRICT HOSPITAL,2020-04-18 7:33:28,2020-04-18 7:33:28,DOH000000000000265,0,2020-04-18,1677,3,0,0,0,0,0,0
CAMARINES NORTE PROVINCIAL HOSPITAL,2020-04-16 7:36:46,2020-04-16 7:36:46,DOH000000000000266,0,2020-04-16,81,0,0,0,0,0,0,0
CAMARINES NORTE PROVINCIAL HOSPITAL,2020-04-17 7:24:39,2020-04-17 7:24:39,DOH000000000000266,0,2020-04-17,786,0,0,0,0,0,0,0
CAMARINES NORTE PROVINCIAL HOSPITAL,2020-04-18 6:53:01,2020-04-18 6:53:01,DOH000000000000266,0,2020-04-18,1616,0,0,0,0,0,0,0
Masbate Provincial Hospital,2020-04-16 8:29:35,2020-04-16 8:29:35,DOH000000000000267,0,2020-04-16,182,0,0,0,0,0,0,0
Masbate Provincial Hospital,2020-04-17 10:53:29,2020-04-17 10:53:29,DOH000000000000267,0,2020-04-17,1297,7,0,0,0,0,0,0
DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-17 16:13:25,2020-04-17 16:13:25,DOH000000000000276,5,2020-04-17,1511,4,6,9,0,9,5,0
DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-16 14:58:41,2020-04-16 14:58:41,DOH000000000000276,2,2020-04-16,589,2,6,6,0,10,5,0
ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-18 7:51:58,2020-04-18 7:51:58,DOH000000000000280,0,2020-04-18,1722,1,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-17 8:14:01,2020-04-17 8:14:01,DOH000000000000280,0,2020-04-17,950,0,0,0,0,1,0,0
ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-16 8:18:14,2020-04-16 8:18:14,DOH000000000000280,0,2020-04-16,160,0,0,0,0,1,0,0
ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,2020-04-18 8:01:15,2020-04-18 8:01:15,DOH000000000000281,0,2020-04-18,1767,15,0,0,0,4,0,0
ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,2020-04-16 17:44:38,2020-04-16 17:44:38,DOH000000000000281,0,2020-04-16,690,17,0,0,0,2,0,0
ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,2020-04-17 8:26:39,2020-04-17 8:26:39,DOH000000000000281,0,2020-04-17,1011,17,0,0,0,2,0,0
UMALI MEDICAL CLINIC,2020-04-18 8:01:10,2020-04-18 8:01:10,DOH000000000000283,0,2020-04-18,1766,1,0,0,0,0,0,0
JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL,2020-04-17 7:43:54,2020-04-17 7:43:54,DOH000000000000292,0,2020-04-17,823,0,0,0,0,0,0,0
JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL,2020-04-18 7:59:24,2020-04-18 7:59:24,DOH000000000000292,0,2020-04-18,1754,0,0,0,0,0,0,0
RECEL MEDICAL CLINIC AND HOSPITAL,2020-04-17 7:26:31,2020-04-17 7:26:31,DOH000000000000296,0,2020-04-17,789,0,0,0,0,0,0,0
RECEL MEDICAL CLINIC AND HOSPITAL,2020-04-18 10:04:51,2020-04-18 10:04:51,DOH000000000000296,0,2020-04-18,2110,0,0,0,0,0,0,0
RECEL MEDICAL CLINIC AND HOSPITAL,2020-04-16 12:08:43,2020-04-16 12:08:43,DOH000000000000296,0,2020-04-16,456,0,0,0,0,0,0,0
DR. MIGUEL V. ALEGRE HOSPITAL,2020-04-17 6:58:56,2020-04-17 6:58:56,DOH000000000000298,0,2020-04-17,759,0,0,0,0,0,0,0
DR. MIGUEL V. ALEGRE HOSPITAL,2020-04-16 7:27:08,2020-04-16 7:27:08,DOH000000000000298,0,2020-04-16,68,0,0,0,0,0,0,0
DR. MIGUEL V. ALEGRE HOSPITAL,2020-04-18 7:42:54,2020-04-18 7:42:54,DOH000000000000298,0,2020-04-18,1694,0,0,0,0,0,0,0
GARCHITORENA MEDICARE COMMUNITY HOSPITAL,2020-04-17 9:16:15,2020-04-17 9:16:15,DOH000000000000308,0,2020-04-17,1161,1,0,0,0,0,0,0
GARCHITORENA MEDICARE COMMUNITY HOSPITAL,2020-04-18 8:15:51,2020-04-18 8:15:51,DOH000000000000308,0,2020-04-18,1858,1,0,0,0,0,0,0
GARCHITORENA MEDICARE COMMUNITY HOSPITAL,2020-04-16 8:51:43,2020-04-16 8:51:43,DOH000000000000308,0,2020-04-16,235,1,0,0,0,0,0,0
JOSE PANGANIBAN PRIMARY HOSPITAL SERVICE COOPERATIVE,2020-04-16 16:26:59,2020-04-16 8:07:47,DOH000000000000309,0,2020-04-16,139,0,0,0,0,0,0,0
JOSE PANGANIBAN PRIMARY HOSPITAL SERVICE COOPERATIVE,2020-04-17 7:47:38,2020-04-17 7:47:38,DOH000000000000309,0,2020-04-17,832,0,0,0,0,0,0,0
